ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:9060
16986065,2016-03-28 14:45:36,645C - Enduring Exodus,GNU C++,Wrong answer on test 32,78 ms,3200 KB
16985978,2016-03-28 14:39:42,645C - Enduring Exodus,GNU C++,Wrong answer on test 16,15 ms,3000 KB
16985942,2016-03-28 14:37:30,645C - Enduring Exodus,GNU C++,Wrong answer on test 4,15 ms,3000 KB
16856096,2016-03-21 15:48:26,598E - Chocolate Bar,GNU C++,Time limit exceeded on test 3,2000 ms,2300 KB
16855853,2016-03-21 15:28:06,598E - Chocolate Bar,GNU C++,Time limit exceeded on test 3,2000 ms,2400 KB
16849987,2016-03-21 07:56:23,155D - Colliders,GNU C++,Accepted,218 ms,6700 KB
16151548,2016-02-18 18:30:33,630C - Lucky Numbers,GNU C++,Accepted,15 ms,0 KB
16147742,2016-02-18 18:16:00,630B - Moore's Law,GNU C++,Accepted,15 ms,0 KB
16145129,2016-02-18 18:06:26,630A - Again Twenty Five!,GNU C++,Accepted,15 ms,0 KB
15807501,2016-02-04 21:36:42,624C - Graph and String,GNU C++,Wrong answer on pretest 3,15 ms,1000 KB
15798094,2016-02-04 20:27:29,624B - Making a String,GNU C++,Accepted,15 ms,0 KB
15792768,2016-02-04 20:10:36,624A - Save Luke,GNU C++,Accepted,15 ms,0 KB
15714551,2016-01-31 19:02:56,621C - Wet Shark and Flowers,GNU C++,Accepted,483 ms,1200 KB
15713208,2016-01-31 18:52:29,621C - Wet Shark and Flowers,GNU C++,Wrong answer on pretest 3,15 ms,1200 KB
15710107,2016-01-31 18:24:25,621C - Wet Shark and Flowers,GNU C++,Wrong answer on pretest 3,15 ms,800 KB
15703170,2016-01-31 17:37:08,621A - Wet Shark and Odd and Even,GNU C++,Accepted,265 ms,1600 KB
15701723,2016-01-31 17:30:07,621B - Wet Shark and Bishops,GNU C++,Accepted,607 ms,0 KB
15698066,2016-01-31 17:13:25,621A - Wet Shark and Odd and Even,GNU C++,Wrong answer on pretest 9,234 ms,1600 KB
15667481,2016-01-29 23:59:13,618C - Constellation,GNU C++,Accepted,529 ms,3100 KB
15667370,2016-01-29 23:56:08,618C - Constellation,GNU C++,Wrong answer on test 1,0 ms,3100 KB
15663147,2016-01-29 21:40:15,618C - Constellation,GNU C++,Wrong answer on test 51,1325 ms,3200 KB
15659005,2016-01-29 21:05:45,618B - Guess the Permutation,GNU C++,Accepted,15 ms,0 KB
15656171,2016-01-29 20:44:46,618A - Slime Combining,GNU C++,Accepted,15 ms,0 KB
15539511,2016-01-23 21:30:12,617D - Polyline,GNU C++,Accepted,15 ms,0 KB
15539387,2016-01-23 21:27:41,617D - Polyline,GNU C++,Wrong answer on test 28,15 ms,0 KB
15538908,2016-01-23 21:18:36,617D - Polyline,GNU C++,Wrong answer on test 9,15 ms,0 KB
15535645,2016-01-23 20:17:36,617D - Polyline,GNU C++,Wrong answer on test 9,15 ms,0 KB
15534105,2016-01-23 20:05:06,617D - Polyline,GNU C++,Hacked,15 ms,0 KB
15530577,2016-01-23 19:39:40,617C - Watering Flowers,GNU C++,Wrong answer on test 7,15 ms,0 KB
15523146,2016-01-23 18:56:11,617B - Chocolate,GNU C++,Accepted,15 ms,0 KB
15521836,2016-01-23 18:50:35,617B - Chocolate,GNU C++,Wrong answer on pretest 7,15 ms,0 KB
15518393,2016-01-23 18:39:26,617A - Elephant,GNU C++,Accepted,15 ms,0 KB
15473379,2016-01-21 18:17:22,620B - Grandfather Dovlet’s calculator,GNU C++,Accepted,15 ms,0 KB
15471644,2016-01-21 18:08:09,620A - Professor GukiZ's Robot,GNU C++,Accepted,15 ms,0 KB
15406595,2016-01-16 19:51:01,614C - Peter and Snow Blower,GNU C++,Accepted,93 ms,1600 KB
15406560,2016-01-16 19:48:50,614C - Peter and Snow Blower,GNU C++,Wrong answer on test 1,0 ms,1600 KB
15406537,2016-01-16 19:47:03,614C - Peter and Snow Blower,GNU C++,Accepted,1185 ms,1600 KB
15406525,2016-01-16 19:46:07,614C - Peter and Snow Blower,GNU C++,Accepted,1170 ms,2400 KB
15406505,2016-01-16 19:45:03,614C - Peter and Snow Blower,GNU C++,Wrong answer on test 20,405 ms,800 KB
15406493,2016-01-16 19:44:14,614C - Peter and Snow Blower,GNU C++,Compilation error,0 ms,0 KB
15406386,2016-01-16 19:35:36,614C - Peter and Snow Blower,GNU C++,Wrong answer on test 20,62 ms,800 KB
15406314,2016-01-16 19:30:14,614C - Peter and Snow Blower,GNU C++,Wrong answer on test 20,93 ms,800 KB
15406279,2016-01-16 19:26:26,614C - Peter and Snow Blower,GNU C++,Wrong answer on test 20,62 ms,800 KB
15405997,2016-01-16 19:01:30,614C - Peter and Snow Blower,GNU C++,Wrong answer on test 3,15 ms,800 KB
15405473,2016-01-16 18:14:23,614C - Peter and Snow Blower,GNU C++,Accepted,1122 ms,2400 KB
15405439,2016-01-16 18:12:11,614C - Peter and Snow Blower,GNU C++,Wrong answer on test 1,0 ms,2300 KB
15381280,2016-01-15 06:41:26,614B - Gena's Code,GNU C++,Accepted,31 ms,0 KB
15381181,2016-01-15 06:30:48,614A - Link/Cut Tree,GNU C++,Accepted,30 ms,0 KB
15371205,2016-01-14 21:24:00,614C - Peter and Snow Blower,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
15370551,2016-01-14 21:20:13,614C - Peter and Snow Blower,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
15364284,2016-01-14 20:44:19,614B - Gena's Code,GNU C++,Time limit exceeded on test 15,500 ms,200 KB
15363409,2016-01-14 20:40:12,614B - Gena's Code,GNU C++,Wrong answer on pretest 9,46 ms,200 KB
15351125,2016-01-14 19:51:18,614A - Link/Cut Tree,GNU C++,Wrong answer on test 24,15 ms,0 KB
15242659,2016-01-08 17:30:35,615A - Bulbs,GNU C++,Accepted,15 ms,0 KB
