ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:6002
20501875,2016-09-10 20:04:54,712A - Memory and Crow,Java 8,Accepted,140 ms,0 KB
20260349,2016-08-29 20:27:07,711C - Coloring Trees,Java 8,Wrong answer on test 5,109 ms,0 KB
20260313,2016-08-29 20:25:54,711B - Chris and Magic Square,Java 8,Accepted,560 ms,0 KB
20255073,2016-08-29 17:03:16,711C - Coloring Trees,Java 8,Wrong answer on pretest 5,109 ms,0 KB
20253747,2016-08-29 16:55:01,711C - Coloring Trees,Java 8,Wrong answer on pretest 5,93 ms,0 KB
20250527,2016-08-29 16:35:35,711C - Coloring Trees,Java 8,Wrong answer on pretest 5,108 ms,0 KB
20236890,2016-08-29 15:32:36,711B - Chris and Magic Square,Java 8,Wrong answer on test 88,592 ms,0 KB
20235708,2016-08-29 15:28:42,711B - Chris and Magic Square,Java 8,Wrong answer on pretest 7,171 ms,0 KB
20230137,2016-08-29 15:11:49,711A - Bus to Udayland,Java 8,Accepted,186 ms,0 KB
20125521,2016-08-24 20:42:58,709B - Checkpoints,Java 8,Accepted,343 ms,30000 KB
20124151,2016-08-24 20:34:30,709B - Checkpoints,Java 8,Wrong answer on hack 1,343 ms,26500 KB
20121385,2016-08-24 20:20:31,709B - Checkpoints,Java 8,Hacked,343 ms,29800 KB
20120408,2016-08-24 20:15:57,709C - Letters Cyclic Shift,Java 8,Accepted,187 ms,20400 KB
20115721,2016-08-24 19:57:55,709B - Checkpoints,Java 8,Wrong answer on pretest 9,124 ms,20300 KB
20114462,2016-08-24 19:53:39,709B - Checkpoints,Java 8,Runtime error on pretest 4,124 ms,20400 KB
20111048,2016-08-24 19:41:35,709A - Juicer,Java 8,Accepted,342 ms,29000 KB
20065423,2016-08-22 19:07:34,710C - Magic Odd Square,Java 8,Accepted,171 ms,20400 KB
20065162,2016-08-22 19:05:52,710C - Magic Odd Square,Java 8,Runtime error on test 5,155 ms,20300 KB
20059839,2016-08-22 18:21:03,710A - King Moves,Java 8,Accepted,124 ms,20300 KB
20004847,2016-08-20 18:04:28,707D - Persistent Bookcase,Java 8,Wrong answer on test 13,109 ms,20500 KB
20000880,2016-08-20 17:37:47,707D - Persistent Bookcase,Java 8,Skipped,108 ms,20500 KB
19997528,2016-08-20 17:14:26,707C - Pythagorean Triples,Java 8,Wrong answer on test 50,140 ms,20300 KB
19990651,2016-08-20 16:34:35,707B - Bakery,Java 8,Accepted,280 ms,33400 KB
19989585,2016-08-20 16:30:03,707B - Bakery,Java 8,Wrong answer on pretest 3,108 ms,20000 KB
19985793,2016-08-20 16:14:28,707A - Brain's Photos,Java 8,Accepted,171 ms,20400 KB
19983416,2016-08-20 16:09:42,707A - Brain's Photos,Java 8,Runtime error on pretest 1,78 ms,20000 KB
19804541,2016-08-11 20:48:42,706B - Interesting drink,Java 8,Wrong answer on pretest 5,124 ms,20000 KB
19802793,2016-08-11 20:38:51,706B - Interesting drink,Java 8,Runtime error on pretest 1,108 ms,20000 KB
19800972,2016-08-11 20:30:11,706B - Interesting drink,Java 8,Wrong answer on pretest 5,139 ms,20000 KB
19798725,2016-08-11 20:19:02,706B - Interesting drink,Java 8,Wrong answer on pretest 2,77 ms,20000 KB
19795781,2016-08-11 20:04:01,706A - Beru-taxi,Java 8,Accepted,155 ms,20500 KB
19794738,2016-08-11 19:59:17,706B - Interesting drink,Java 8,Time limit exceeded on pretest 2,2000 ms,19900 KB
19790473,2016-08-11 19:44:37,706A - Beru-taxi,Java 8,Wrong answer on pretest 7,139 ms,20400 KB
19497167,2016-07-29 19:49:51,702D - Road to Post Office,Java 7,Hacked,358 ms,0 KB
19496491,2016-07-29 19:43:32,702D - Road to Post Office,Java 7,Wrong answer on test 4,124 ms,0 KB
19492029,2016-07-29 19:01:34,702C - Cellular Network,Java 7,Accepted,249 ms,10400 KB
19489929,2016-07-29 18:46:06,702C - Cellular Network,Java 7,Wrong answer on test 4,93 ms,0 KB
19486838,2016-07-29 18:26:25,702B - Powers of Two,Java 7,Accepted,280 ms,12500 KB
19483437,2016-07-29 18:07:45,702A - Maximum Increase,Java 7,Accepted,139 ms,1500 KB
19482995,2016-07-29 18:05:40,702A - Maximum Increase,Java 7,Wrong answer on test 4,77 ms,0 KB
19131970,2016-07-14 21:44:54,697C - Lorenzo Von Matterhorn,Java 7,Runtime error on pretest 2,93 ms,0 KB
19131350,2016-07-14 21:39:39,697C - Lorenzo Von Matterhorn,Java 7,Runtime error on pretest 2,77 ms,0 KB
19130628,2016-07-14 21:32:55,697C - Lorenzo Von Matterhorn,Java 7,Runtime error on pretest 2,93 ms,0 KB
19130309,2016-07-14 21:29:59,697C - Lorenzo Von Matterhorn,Java 7,Runtime error on pretest 2,93 ms,0 KB
19129652,2016-07-14 21:23:34,697C - Lorenzo Von Matterhorn,Java 7,Runtime error on pretest 2,93 ms,0 KB
19129025,2016-07-14 21:17:50,697C - Lorenzo Von Matterhorn,Java 7,Runtime error on pretest 2,77 ms,0 KB
19120210,2016-07-14 20:12:07,697B - Barnicle,Java 7,Hacked,108 ms,0 KB
19118483,2016-07-14 20:03:01,697B - Barnicle,Java 7,Wrong answer on pretest 7,108 ms,0 KB
19115664,2016-07-14 19:50:40,697A - Pineapple Incident,Java 7,Accepted,140 ms,0 KB
19114181,2016-07-14 19:45:57,697A - Pineapple Incident,Java 7,Wrong answer on pretest 1,109 ms,0 KB
18561549,2016-06-17 21:08:11,682D - Alyona and Strings,Java 7,Wrong answer on pretest 3,93 ms,0 KB
18560618,2016-06-17 20:58:43,682D - Alyona and Strings,Java 7,Wrong answer on pretest 8,108 ms,0 KB
18559181,2016-06-17 20:45:30,682A - Alyona and Numbers,Java 7,Accepted,139 ms,0 KB
18558778,2016-06-17 20:42:00,682A - Alyona and Numbers,Java 7,Wrong answer on pretest 11,124 ms,0 KB
18558419,2016-06-17 20:39:16,682A - Alyona and Numbers,Java 7,Wrong answer on pretest 11,109 ms,0 KB
18556723,2016-06-17 20:25:55,682B - Alyona and Mex,Java 7,Wrong answer on pretest 4,93 ms,0 KB
18553698,2016-06-17 20:06:51,682A - Alyona and Numbers,Java 7,Wrong answer on pretest 11,109 ms,0 KB
18552606,2016-06-17 20:01:18,682B - Alyona and Mex,Java 7,Wrong answer on pretest 4,93 ms,0 KB
18549762,2016-06-17 19:49:24,682A - Alyona and Numbers,Java 7,Wrong answer on pretest 8,109 ms,0 KB
18476942,2016-06-14 21:34:35,681C - Heap Operations,Java 7,Wrong answer on pretest 10,217 ms,44100 KB
18475966,2016-06-14 21:28:38,681C - Heap Operations,Java 7,Wrong answer on pretest 10,187 ms,44100 KB
18471184,2016-06-14 20:53:11,681C - Heap Operations,Java 7,Wrong answer on pretest 10,374 ms,44300 KB
18469884,2016-06-14 20:43:40,681C - Heap Operations,Java 7,Wrong answer on pretest 10,451 ms,44300 KB
18469427,2016-06-14 20:40:49,681C - Heap Operations,Java 7,Runtime error on pretest 4,108 ms,38500 KB
18464770,2016-06-14 20:12:50,681B - Economy Game,Java 7,Accepted,109 ms,38500 KB
18461636,2016-06-14 19:56:09,681A - A Good Contest,Java 7,Accepted,124 ms,38500 KB
18203108,2016-06-01 21:33:20,677D - Vanya and Treasure,Java 7,Time limit exceeded on pretest 10,1500 ms,38800 KB
18202787,2016-06-01 21:31:03,677D - Vanya and Treasure,Java 7,Time limit exceeded on pretest 10,1500 ms,38700 KB
18200091,2016-06-01 21:08:15,677D - Vanya and Treasure,Java 7,Wrong answer on pretest 5,108 ms,38000 KB
18196337,2016-06-01 20:35:59,677B - Vanya and Food Processor,Java 7,Time limit exceeded on pretest 8,1000 ms,38000 KB
18195184,2016-06-01 20:26:53,677B - Vanya and Food Processor,Java 7,Time limit exceeded on pretest 8,1000 ms,38100 KB
18194322,2016-06-01 20:20:25,677B - Vanya and Food Processor,Java 7,Time limit exceeded on pretest 8,1000 ms,38300 KB
18192962,2016-06-01 20:10:53,677B - Vanya and Food Processor,Java 7,Time limit exceeded on pretest 8,1000 ms,38300 KB
18191919,2016-06-01 20:04:13,677B - Vanya and Food Processor,Java 7,Time limit exceeded on pretest 8,1000 ms,38500 KB
18190930,2016-06-01 19:58:35,677A - Vanya and Fence,Java 7,Accepted,124 ms,38500 KB
18190134,2016-06-01 19:53:45,677B - Vanya and Food Processor,Java 8,Time limit exceeded on pretest 8,1000 ms,20500 KB
18188864,2016-06-01 19:46:26,677A - Vanya and Fence,Java 8,Runtime error on pretest 1,77 ms,20000 KB
18188437,2016-06-01 19:44:07,677B - Vanya and Food Processor,Java 8,Wrong answer on pretest 2,109 ms,20300 KB
