ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:21748
5747657,2014-01-20 19:35:36,384A - Coder,GNU C++,Wrong answer on pretest 1,15 ms,0 KB
5669966,2014-01-12 20:01:25,381B - Sereja and Stairs,GNU C++,Accepted,46 ms,400 KB
5667038,2014-01-12 19:38:34,381A - Sereja and Dima,GNU C++,Accepted,15 ms,0 KB
5578986,2013-12-30 20:18:03,379C - New Year Ratings Change,GNU C++,Time limit exceeded on test 26,1000 ms,7000 KB
5577139,2013-12-30 20:02:50,379B - New Year Present,GNU C++,Accepted,15 ms,0 KB
5573619,2013-12-30 19:43:43,379A - New Year Candles,GNU C++,Accepted,15 ms,0 KB
5571302,2013-12-30 19:35:40,379A - New Year Candles,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
5109087,2013-11-14 21:27:32,362C - Insertion Sort,GNU C++,Time limit exceeded on pretest 6,2000 ms,100 KB
5105238,2013-11-14 20:33:59,362A - Two Semiknights Meet,GNU C++,Accepted,15 ms,100 KB
5103866,2013-11-14 20:20:04,362A - Two Semiknights Meet,GNU C++,Wrong answer on pretest 7,15 ms,100 KB
5103556,2013-11-14 20:16:56,362A - Two Semiknights Meet,GNU C++,Wrong answer on pretest 3,0 ms,100 KB
5101472,2013-11-14 19:59:50,362B - Petya and Staircases,GNU C++,Accepted,15 ms,0 KB
5100316,2013-11-14 19:51:31,362B - Petya and Staircases,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
5045672,2013-11-10 21:18:06,361B - Levko and Permutation,GNU C++,Accepted,31 ms,0 KB
5044549,2013-11-10 21:06:44,361A - Levko and Table,GNU C++,Accepted,15 ms,0 KB
4900033,2013-10-26 09:54:40,358A - Dima and Continuous Line,GNU C++,Accepted,15 ms,0 KB
4900010,2013-10-26 09:50:34,358A - Dima and Continuous Line,GNU C++,Wrong answer on test 13,15 ms,0 KB
4891622,2013-10-25 22:21:20,358A - Dima and Continuous Line,GNU C++,Wrong answer on test 3,0 ms,0 KB
4891183,2013-10-25 22:04:53,358B - Dima and Text Messages,GNU C++,Accepted,1950 ms,4200 KB
4886039,2013-10-25 20:28:25,358B - Dima and Text Messages,GNU C++,Hacked,140 ms,900 KB
4882295,2013-10-25 19:51:11,358A - Dima and Continuous Line,GNU C++,Wrong answer on pretest 6,0 ms,0 KB
4882169,2013-10-25 19:50:09,358A - Dima and Continuous Line,GNU C++,Runtime error on pretest 4,0 ms,0 KB
4811509,2013-10-17 09:28:30,357C - Knight Tournament,GNU C++,Accepted,686 ms,12800 KB
4811503,2013-10-17 09:25:58,357C - Knight Tournament,GNU C++,Time limit exceeded on test 11,3000 ms,10800 KB
4794927,2013-10-15 17:10:50,357C - Knight Tournament,GNU C++,Time limit exceeded on pretest 11,3000 ms,2300 KB
4792483,2013-10-15 16:34:45,357B - Flag Day,GNU C++,Accepted,156 ms,400 KB
4790327,2013-10-15 16:13:31,357A - Group of Students,GNU C++,Accepted,31 ms,0 KB
4782897,2013-10-14 14:18:59,355C - Vasya and Robot,GNU C++,Accepted,46 ms,400 KB
4771748,2013-10-13 20:09:26,355B - Vasya and Public Transport,GNU C++,Accepted,15 ms,0 KB
4768498,2013-10-13 19:41:15,355A - Vasya and Digital Root,GNU C++,Accepted,15 ms,0 KB
4581797,2013-09-27 20:21:02,349B - Color the Fence,GNU C++,Wrong answer on pretest 9,0 ms,0 KB
4580375,2013-09-27 20:10:19,349B - Color the Fence,GNU C++,Wrong answer on pretest 9,30 ms,0 KB
4577624,2013-09-27 19:51:15,349A - Cinema Line,GNU C++,Accepted,92 ms,400 KB
4577168,2013-09-27 19:48:33,349A - Cinema Line,GNU C++,Wrong answer on pretest 8,30 ms,0 KB
4577011,2013-09-27 19:47:42,349A - Cinema Line,GNU C++,Wrong answer on pretest 2,0 ms,0 KB
4471728,2013-09-14 22:29:06,344D - Alternating Current,GNU C++,Time limit exceeded on test 33,1000 ms,300 KB
4470048,2013-09-14 21:31:48,344D - Alternating Current,GNU C++,Wrong answer on test 12,30 ms,300 KB
4467180,2013-09-14 20:55:33,344D - Alternating Current,GNU C++,Wrong answer on pretest 7,30 ms,0 KB
4462496,2013-09-14 20:00:11,344B - Simple Molecules,GNU C++,Accepted,30 ms,0 KB
4460912,2013-09-14 19:46:29,344A - Magnets,GNU C++,Accepted,124 ms,3000 KB
4295413,2013-08-16 21:33:50,337B - Routine Problem,GNU C++,Accepted,30 ms,0 KB
4293067,2013-08-16 20:59:28,337B - Routine Problem,GNU C++,Wrong answer on pretest 3,30 ms,0 KB
4291082,2013-08-16 20:35:01,337B - Routine Problem,GNU C++,Wrong answer on pretest 3,30 ms,0 KB
4288618,2013-08-16 20:10:33,337A - Puzzles,GNU C++,Accepted,30 ms,0 KB
4256128,2013-08-09 21:22:42,336C - Vasily the Bear and Sequence,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
4255933,2013-08-09 21:20:00,336C - Vasily the Bear and Sequence,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
4255368,2013-08-09 21:12:00,336C - Vasily the Bear and Sequence,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
4253409,2013-08-09 20:45:30,336C - Vasily the Bear and Sequence,GNU C++,Wrong answer on pretest 3,30 ms,0 KB
4252846,2013-08-09 20:38:03,336C - Vasily the Bear and Sequence,GNU C++,Wrong answer on pretest 3,30 ms,0 KB
4248990,2013-08-09 19:48:38,336A - Vasily the Bear and Triangle,GNU C++,Accepted,30 ms,0 KB
4222917,2013-08-03 22:20:27,335A - Banana,GNU C++,Wrong answer on pretest 7,30 ms,100 KB
4189442,2013-07-27 17:20:18,334B - Eight Point Sets,GNU C++,Accepted,30 ms,100 KB
4189421,2013-07-27 17:18:53,334B - Eight Point Sets,GNU C++,Wrong answer on test 1,0 ms,0 KB
4189401,2013-07-27 17:16:52,334B - Eight Point Sets,GNU C++,Wrong answer on test 7,30 ms,0 KB
4184245,2013-07-27 14:07:09,334C - Secrets,GNU C++,Accepted,30 ms,0 KB
4181911,2013-07-27 13:41:06,334C - Secrets,GNU C++,Wrong answer on pretest 5,30 ms,0 KB
4180682,2013-07-27 13:27:22,334C - Secrets,GNU C++,Wrong answer on pretest 7,0 ms,0 KB
4178697,2013-07-27 13:06:53,334B - Eight Point Sets,GNU C++,Wrong answer on test 7,30 ms,0 KB
4176876,2013-07-27 12:50:20,334A - Candy Bags,GNU C++,Accepted,30 ms,0 KB
4174984,2013-07-27 12:34:12,334A - Candy Bags,GNU C++,Wrong answer on pretest 2,0 ms,0 KB
4163601,2013-07-25 15:54:57,332B - Maximum Absurdity,GNU C++,Accepted,359 ms,4700 KB
4163590,2013-07-25 15:53:23,332B - Maximum Absurdity,GNU C++,Wrong answer on test 8,171 ms,1200 KB
4163542,2013-07-25 15:48:06,332B - Maximum Absurdity,GNU C++,Wrong answer on test 5,15 ms,0 KB
4163531,2013-07-25 15:46:11,332B - Maximum Absurdity,GNU C++,Wrong answer on test 3,0 ms,0 KB
4163166,2013-07-25 14:44:49,332B - Maximum Absurdity,GNU C++,Wrong answer on test 15,156 ms,1600 KB
4163154,2013-07-25 14:43:26,332B - Maximum Absurdity,GNU C++,Wrong answer on test 1,15 ms,0 KB
4151270,2013-07-24 20:23:10,332B - Maximum Absurdity,GNU C++,Hacked,171 ms,1600 KB
4149858,2013-07-24 20:02:33,332B - Maximum Absurdity,GNU C++,Wrong answer on pretest 8,156 ms,400 KB
4120523,2013-07-20 19:08:51,330C - Purification,GNU C++,Wrong answer on test 31,15 ms,100 KB
4119349,2013-07-20 18:49:22,330C - Purification,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
4119288,2013-07-20 18:48:16,330C - Purification,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
4118057,2013-07-20 18:30:09,330C - Purification,GNU C++,Wrong answer on pretest 4,0 ms,0 KB
4116033,2013-07-20 18:04:36,330B - Road Construction,GNU C++,Accepted,15 ms,0 KB
4115682,2013-07-20 18:00:44,330B - Road Construction,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
4113806,2013-07-20 17:45:13,330A - Cakeminator,GNU C++,Accepted,15 ms,100 KB
4022306,2013-07-04 20:51:38,327C - Magic Five,GNU C++,Accepted,312 ms,300 KB
4022044,2013-07-04 20:24:07,327C - Magic Five,GNU C++,Wrong answer on test 2,0 ms,0 KB
4021970,2013-07-04 20:16:00,327C - Magic Five,GNU C++,Time limit exceeded on test 9,1000 ms,200 KB
4021928,2013-07-04 20:10:51,327C - Magic Five,GNU C++,Time limit exceeded on test 9,1000 ms,200 KB
4021774,2013-07-04 19:57:42,327C - Magic Five,GNU C++,Time limit exceeded on test 9,1000 ms,200 KB
4021013,2013-07-04 19:04:44,327C - Magic Five,GNU C++,Wrong answer on test 1,15 ms,0 KB
4020739,2013-07-04 18:51:30,327C - Magic Five,GNU C++,Wrong answer on test 5,0 ms,0 KB
4018794,2013-07-04 18:08:31,327B - Hungry Sequence,GNU C++,Time limit exceeded on pretest 5,1000 ms,400 KB
4018490,2013-07-04 18:03:12,327A - Flipping Game,GNU C++,Accepted,15 ms,0 KB
4018145,2013-07-04 17:56:46,327A - Flipping Game,GNU C++,Wrong answer on pretest 7,15 ms,0 KB
4017419,2013-07-04 17:43:57,327B - Hungry Sequence,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
4016773,2013-07-04 17:32:50,327B - Hungry Sequence,GNU C++,Compilation error,0 ms,0 KB
4016529,2013-07-04 17:29:03,327B - Hungry Sequence,GNU C++,Wrong answer on pretest 2,0 ms,0 KB
4016394,2013-07-04 17:26:38,327B - Hungry Sequence,GNU C++,Wrong answer on pretest 4,15 ms,3900 KB
3981634,2013-06-28 20:55:49,322B - Ciel and Flowers,GNU C++,Accepted,15 ms,0 KB
3979304,2013-06-28 20:29:43,322B - Ciel and Flowers,GNU C++,Wrong answer on pretest 6,0 ms,0 KB
3977157,2013-06-28 20:10:21,322A - Ciel and Dancing,GNU C++,Accepted,15 ms,0 KB
3975627,2013-06-28 19:55:47,322B - Ciel and Flowers,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
3975209,2013-06-28 19:51:52,322A - Ciel and Dancing,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
3954723,2013-06-24 13:33:46,320C - Malek Dance Club,GNU C++,Accepted,15 ms,0 KB
3954669,2013-06-24 13:18:45,320C - Malek Dance Club,GNU C++,Wrong answer on test 4,15 ms,0 KB
3954592,2013-06-24 12:56:21,320C - Malek Dance Club,GNU C++,Wrong answer on test 4,0 ms,0 KB
3952235,2013-06-23 22:41:40,320B - Ping-Pong (Easy Version),GNU C++,Wrong answer on test 4,15 ms,0 KB
3952226,2013-06-23 22:39:49,320C - Malek Dance Club,GNU C++,Wrong answer on test 4,0 ms,0 KB
3947156,2013-06-23 18:01:28,320B - Ping-Pong (Easy Version),GNU C++,Wrong answer on pretest 2,0 ms,0 KB
3943618,2013-06-23 17:12:48,320A - Magic Numbers,GNU C++,Accepted,15 ms,0 KB
3899554,2013-06-15 10:44:57,318C - Perfect Pair,GNU C++,Accepted,15 ms,0 KB
3899543,2013-06-15 10:43:27,318C - Perfect Pair,GNU C++,Accepted,15 ms,0 KB
3899540,2013-06-15 10:42:31,318C - Perfect Pair,GNU C++,Time limit exceeded on test 10,1000 ms,0 KB
3899489,2013-06-15 10:34:10,318C - Perfect Pair,GNU C++,Time limit exceeded on test 10,1000 ms,0 KB
3899090,2013-06-15 08:52:53,318C - Perfect Pair,GNU C++,Time limit exceeded on test 10,1000 ms,0 KB
3899053,2013-06-15 08:43:47,318C - Perfect Pair,GNU C++,Wrong answer on test 7,15 ms,0 KB
3893939,2013-06-14 21:12:25,318C - Perfect Pair,GNU C++,Wrong answer on pretest 4,0 ms,0 KB
3893354,2013-06-14 21:05:08,318C - Perfect Pair,GNU C++,Wrong answer on pretest 4,0 ms,0 KB
3892533,2013-06-14 20:54:56,318C - Perfect Pair,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
3891721,2013-06-14 20:44:49,318C - Perfect Pair,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
3891237,2013-06-14 20:39:27,318C - Perfect Pair,GNU C++,Wrong answer on pretest 4,0 ms,0 KB
3891100,2013-06-14 20:37:59,318C - Perfect Pair,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
3888319,2013-06-14 20:10:58,318B - Strings of Power,GNU C++,Accepted,187 ms,3100 KB
3886588,2013-06-14 19:52:44,318B - Strings of Power,GNU C++,Wrong answer on pretest 8,156 ms,2800 KB
3884259,2013-06-14 19:36:05,318A - Even Odds,GNU C++,Accepted,15 ms,0 KB
3372362,2013-03-21 20:22:42,285A - Slightly Decreasing Permutations,GNU C++,Accepted,62 ms,0 KB
3371812,2013-03-21 20:15:09,285A - Slightly Decreasing Permutations,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
3371529,2013-03-21 20:11:27,285A - Slightly Decreasing Permutations,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
3371027,2013-03-21 20:05:49,285A - Slightly Decreasing Permutations,GNU C++,Wrong answer on pretest 1,15 ms,0 KB
