ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:21748
2162837,2012-09-13 16:50:21,222D - Olympiad,GNU C++,Accepted,230 ms,2200 KB
2157030,2012-09-13 07:20:58,222D - Olympiad,GNU C++,Time limit exceeded on test 12,1000 ms,2200 KB
2154557,2012-09-12 20:30:19,222D - Olympiad,GNU C++,Time limit exceeded on test 12,1000 ms,2700 KB
2154130,2012-09-12 18:15:12,222D - Olympiad,GNU C++,Wrong answer on test 7,30 ms,2200 KB
2154072,2012-09-12 17:52:36,222D - Olympiad,GNU C++,Wrong answer on test 6,30 ms,1800 KB
2153977,2012-09-12 17:28:04,222D - Olympiad,GNU C++,Wrong answer on test 4,10 ms,1800 KB
2153103,2012-09-12 13:51:17,222D - Olympiad,GNU C++,Wrong answer on test 6,30 ms,1800 KB
2152722,2012-09-12 12:03:42,222D - Olympiad,GNU C++,Wrong answer on test 6,30 ms,1800 KB
2152559,2012-09-12 11:16:54,222A - Shooshuns and Sequence,GNU C++,Accepted,110 ms,1800 KB
2152453,2012-09-12 10:34:55,222B - Cosmic Tables,GNU C++,Accepted,2300 ms,5400 KB
2114922,2012-09-10 20:50:58,222B - Cosmic Tables,GNU C++,Wrong answer on pretest 9,30 ms,1400 KB
2113778,2012-09-10 20:34:32,222B - Cosmic Tables,GNU C++,Wrong answer on pretest 9,30 ms,1400 KB
2113052,2012-09-10 20:25:29,222B - Cosmic Tables,GNU C++,Time limit exceeded on pretest 12,3000 ms,5300 KB
2112150,2012-09-10 20:15:30,222A - Shooshuns and Sequence,GNU C++,Wrong answer on test 12,130 ms,1800 KB
2111351,2012-09-10 20:08:01,222A - Shooshuns and Sequence,GNU C++,Wrong answer on pretest 7,140 ms,1800 KB
2110571,2012-09-10 20:01:40,222A - Shooshuns and Sequence,GNU C++,Wrong answer on pretest 6,10 ms,1400 KB
2000246,2012-08-11 17:57:09,208A - Dubstep,GNU C++,Accepted,30 ms,1400 KB
1974005,2012-08-03 18:17:30,214B - Hometask,GNU C++,Wrong answer on test 14,60 ms,1800 KB
1967896,2012-08-01 14:32:40,214B - Hometask,GNU C++,Wrong answer on test 14,60 ms,5400 KB
1967893,2012-08-01 14:32:06,214B - Hometask,GNU C++,Wrong answer on test 14,60 ms,5400 KB
1967877,2012-08-01 14:26:11,214B - Hometask,GNU C++,Wrong answer on test 14,60 ms,5400 KB
1967870,2012-08-01 14:23:55,214B - Hometask,GNU C++,Wrong answer on test 13,60 ms,5400 KB
1967865,2012-08-01 14:22:52,214B - Hometask,GNU C++,Wrong answer on test 1,10 ms,5400 KB
1967767,2012-08-01 13:50:10,214B - Hometask,GNU C++,Wrong answer on test 9,30 ms,5400 KB
1961528,2012-07-30 22:52:56,214B - Hometask,GNU C++,Wrong answer on test 9,30 ms,5400 KB
1961127,2012-07-30 22:11:37,214B - Hometask,GNU C++,Wrong answer on test 9,30 ms,5400 KB
1957414,2012-07-30 20:31:25,214A - System of Equations,GNU C++,Accepted,30 ms,1400 KB
1897206,2012-07-13 14:47:55,205C - Little Elephant and Interval,GNU C++,Wrong answer on test 4,10 ms,1400 KB
1897179,2012-07-13 14:39:55,205C - Little Elephant and Interval,GNU C++,Wrong answer on test 3,30 ms,1400 KB
1894938,2012-07-12 12:14:57,205C - Little Elephant and Interval,GNU C++,Wrong answer on test 4,10 ms,1400 KB
1894888,2012-07-12 12:06:25,205B - Little Elephant and Sorting,GNU C++,Time limit exceeded on test 14,1000 ms,1800 KB
1894850,2012-07-12 12:00:21,205A - Little Elephant and Rozdil,GNU C++,Accepted,160 ms,2200 KB
1890929,2012-07-11 21:21:50,205C - Little Elephant and Interval,GNU C++,Wrong answer on pretest 4,10 ms,1400 KB
1889720,2012-07-11 20:54:27,205C - Little Elephant and Interval,GNU C++,Time limit exceeded on pretest 7,2000 ms,1400 KB
1888899,2012-07-11 20:38:46,205B - Little Elephant and Sorting,GNU C++,Wrong answer on pretest 5,30 ms,1400 KB
1886793,2012-07-11 20:05:07,205A - Little Elephant and Rozdil,GNU C++,Wrong answer on pretest 9,160 ms,2200 KB
1884475,2012-07-11 19:40:51,205A - Little Elephant and Rozdil,GNU C++,Wrong answer on pretest 9,140 ms,2200 KB
1844599,2012-06-29 23:25:32,202C - Clear Symmetry,GNU C++,Accepted,30 ms,1400 KB
1844583,2012-06-29 23:18:30,202C - Clear Symmetry,GNU C++,Wrong answer on test 62,30 ms,1400 KB
1844559,2012-06-29 23:11:15,202C - Clear Symmetry,GNU C++,Wrong answer on test 6,30 ms,1400 KB
1843099,2012-06-29 21:17:18,202C - Clear Symmetry,GNU C++,Wrong answer on pretest 6,10 ms,1400 KB
1839191,2012-06-29 19:42:17,202A - LLPS,GNU C++,Accepted,30 ms,1400 KB
1826771,2012-06-24 19:45:14,200B - Drinks,GNU C++,Accepted,30 ms,1400 KB
1824235,2012-06-23 19:16:42,199C - About Bacteria,GNU C++,Accepted,30 ms,1400 KB
1824225,2012-06-23 19:09:29,199C - About Bacteria,GNU C++,Wrong answer on test 8,30 ms,1400 KB
1824111,2012-06-23 17:55:37,199C - About Bacteria,GNU C++,Wrong answer on test 8,30 ms,1400 KB
1824062,2012-06-23 17:25:03,199C - About Bacteria,GNU C++,Wrong answer on test 8,30 ms,1400 KB
1824027,2012-06-23 17:05:13,199C - About Bacteria,GNU C++,Wrong answer on test 1,10 ms,1400 KB
1824007,2012-06-23 17:00:02,199C - About Bacteria,GNU C++,Wrong answer on test 5,30 ms,1400 KB
1817001,2012-06-22 20:18:25,199C - About Bacteria,GNU C++,Time limit exceeded on pretest 1,2000 ms,1400 KB
1816876,2012-06-22 20:15:59,199C - About Bacteria,GNU C++,Wrong answer on pretest 5,30 ms,1400 KB
1815660,2012-06-22 19:56:29,199A - Hexadecimal's theorem,GNU C++,Accepted,30 ms,1400 KB
1796063,2012-06-12 18:59:18,197B - Limit,GNU C++,Wrong answer on test 16,30 ms,1400 KB
1795349,2012-06-12 18:50:32,197B - Limit,GNU C++,Wrong answer on pretest 9,30 ms,1400 KB
1794460,2012-06-12 18:37:13,197B - Limit,GNU C++,Wrong answer on pretest 9,30 ms,1400 KB
1794115,2012-06-12 18:31:27,197B - Limit,GNU C++,Wrong answer on pretest 9,30 ms,1400 KB
1793815,2012-06-12 18:25:58,197B - Limit,GNU C++,Wrong answer on pretest 9,10 ms,1400 KB
1791852,2012-06-12 17:54:46,197C - Lexicographically Maximum Subsequence,GNU C++,Accepted,30 ms,1500 KB
1789117,2012-06-12 17:19:58,197A - Plate Game,GNU C++,Wrong answer on pretest 3,10 ms,1400 KB
1786439,2012-06-12 00:00:12,195B - After Training,GNU C++,Accepted,60 ms,1400 KB
1786406,2012-06-11 23:43:57,195B - After Training,GNU C++,Wrong answer on test 2,10 ms,1400 KB
1786234,2012-06-11 21:50:57,195B - After Training,GNU C++,Wrong answer on test 4,10 ms,1800 KB
1778126,2012-06-10 20:23:10,195A - Let's Watch Football,GNU C++,Accepted,30 ms,1400 KB
1709551,2012-05-22 17:57:13,182D - Common Divisors,GNU C++,Accepted,90 ms,1900 KB
1707679,2012-05-21 15:54:12,182D - Common Divisors,GNU C++,Wrong answer on test 1,10 ms,2000 KB
1648727,2012-05-02 09:34:03,182D - Common Divisors,GNU C++,Wrong answer on test 1,10 ms,2000 KB
1648369,2012-05-01 22:43:07,181B - Number of Triplets,GNU C++,Wrong answer on test 4,30 ms,1400 KB
1647822,2012-05-01 15:54:14,182D - Common Divisors,GNU C++,Wrong answer on test 1,10 ms,1400 KB
1645838,2012-04-30 15:59:36,182B - Vasya's Calendar,GNU C++,Accepted,30 ms,1400 KB
