ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:9324
19873110,2016-08-14 20:26:25,669B - Little Artem and Grasshopper,Java 8,Accepted,140 ms,21200 KB
19872907,2016-08-14 20:13:28,669A - Little Artem and Presents,Java 8,Accepted,404 ms,20000 KB
19872890,2016-08-14 20:12:16,669A - Little Artem and Presents,Java 8,Wrong answer on test 5,93 ms,20000 KB
19870636,2016-08-14 17:47:00,706D - Vasiliy's Multiset,Java 8,Accepted,1855 ms,127600 KB
19813873,2016-08-12 00:18:34,706B - Interesting drink,Java 8,Time limit exceeded on test 47,2000 ms,20700 KB
19806397,2016-08-11 21:01:16,706C - Hard problem,Java 8,Accepted,452 ms,26200 KB
19805653,2016-08-11 20:56:05,706C - Hard problem,Java 8,Wrong answer on pretest 8,280 ms,20400 KB
19804914,2016-08-11 20:51:10,706C - Hard problem,Java 8,Wrong answer on pretest 8,264 ms,20400 KB
19797622,2016-08-11 20:13:33,706B - Interesting drink,Java 8,Time limit exceeded on test 47,2000 ms,20700 KB
19793306,2016-08-11 19:53:31,706B - Interesting drink,Java 8,Wrong answer on pretest 5,140 ms,20700 KB
19788579,2016-08-11 19:40:16,706A - Beru-taxi,Java 8,Accepted,155 ms,20600 KB
19748622,2016-08-09 17:06:18,705C - Thor,Java 8,Time limit exceeded on test 46,2000 ms,66100 KB
19701774,2016-08-07 18:08:03,705B - Spider Man,Java 8,Accepted,858 ms,20400 KB
19700514,2016-08-07 18:00:14,705B - Spider Man,Java 8,Wrong answer on pretest 5,140 ms,20400 KB
19689961,2016-08-07 17:11:24,705A - Hulk,Java 8,Accepted,202 ms,20400 KB
19670789,2016-08-06 16:35:14,703D - Mishka and Interesting sum,Java 8,Time limit exceeded on test 12,3500 ms,127600 KB
19627188,2016-08-04 19:19:07,703B - Mishka and trip,Java 8,Accepted,405 ms,20500 KB
19619240,2016-08-04 18:19:35,703A - Mishka and Game,Java 8,Accepted,155 ms,20400 KB
19549785,2016-08-01 07:07:51,702C - Cellular Network,Java 8,Accepted,483 ms,0 KB
19549774,2016-08-01 07:06:38,702C - Cellular Network,Java 8,Runtime error on test 2,124 ms,0 KB
