ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3243
16305391,2016-02-24 11:39:54,630N - Forecast,GNU C++,Accepted,15 ms,0 KB
16305280,2016-02-24 11:33:22,630J - Divisibility,GNU C++,Accepted,15 ms,0 KB
16305248,2016-02-24 11:30:47,630J - Divisibility,GNU C++,Wrong answer on test 7,15 ms,0 KB
16305205,2016-02-24 11:27:24,630F - Selection of Personnel,GNU C++,Accepted,15 ms,0 KB
16304914,2016-02-24 11:03:32,630D - Hexagons!,GNU C++,Accepted,15 ms,0 KB
16304899,2016-02-24 11:02:45,630D - Hexagons!,GNU C++,Wrong answer on test 1,15 ms,0 KB
16304814,2016-02-24 10:55:28,630C - Lucky Numbers,GNU C++,Accepted,15 ms,0 KB
16304791,2016-02-24 10:53:32,630C - Lucky Numbers,GNU C++,Wrong answer on test 1,0 ms,0 KB
16304721,2016-02-24 10:47:38,630B - Moore's Law,GNU C++,Accepted,15 ms,0 KB
16229870,2016-02-20 16:41:43,630A - Again Twenty Five!,GNU C++,Accepted,15 ms,0 KB
16229769,2016-02-20 16:36:36,626D - Jerry's Protest,GNU C++,Accepted,78 ms,100 KB
16229755,2016-02-20 16:35:46,626D - Jerry's Protest,GNU C++,Wrong answer on test 6,30 ms,100 KB
16229730,2016-02-20 16:34:19,626D - Jerry's Protest,GNU C++,Wrong answer on test 6,31 ms,100 KB
16229342,2016-02-20 16:13:29,603B - Moodular Arithmetic,GNU C++,Accepted,15 ms,0 KB
16220101,2016-02-20 06:56:11,626C - Block Towers,GNU C++,Accepted,15 ms,0 KB
16219856,2016-02-20 06:32:15,626C - Block Towers,GNU C++,Wrong answer on test 4,15 ms,0 KB
16207286,2016-02-19 18:48:44,628C - Bear and String Distance,GNU C++,Accepted,31 ms,100 KB
16205221,2016-02-19 18:25:39,628B - New Skateboard,GNU C++,Accepted,15 ms,300 KB
16204035,2016-02-19 18:15:18,628A - Tennis Tournament,GNU C++,Accepted,15 ms,0 KB
16065187,2016-02-17 06:38:56,626B - Cards,GNU C++,Accepted,15 ms,0 KB
16065169,2016-02-17 06:36:08,626B - Cards,GNU C++,Wrong answer on test 1,15 ms,0 KB
16065151,2016-02-17 06:33:32,626B - Cards,GNU C++,Wrong answer on test 17,15 ms,0 KB
16065096,2016-02-17 06:27:40,626B - Cards,GNU C++,Wrong answer on test 8,15 ms,0 KB
16058750,2016-02-16 19:00:58,626A - Robot Sequence,GNU C++,Accepted,15 ms,0 KB
15769231,2016-02-03 16:24:31,621C - Wet Shark and Flowers,GNU C++,Accepted,61 ms,0 KB
15768363,2016-02-03 15:37:19,621B - Wet Shark and Bishops,GNU C++,Accepted,62 ms,0 KB
15746065,2016-02-02 11:21:30,621B - Wet Shark and Bishops,GNU C++,Wrong answer on test 8,62 ms,3900 KB
15745971,2016-02-02 11:14:23,621B - Wet Shark and Bishops,GNU C++,Wrong answer on test 8,62 ms,4700 KB
15745920,2016-02-02 11:11:09,621B - Wet Shark and Bishops,GNU C++,Wrong answer on test 8,62 ms,4700 KB
15745415,2016-02-02 10:37:24,621A - Wet Shark and Odd and Even,GNU C++,Accepted,31 ms,0 KB
15589476,2016-01-26 11:43:19,510C - Fox And Names,GNU C++,Wrong answer on test 1,0 ms,0 KB
15544812,2016-01-24 04:22:40,617D - Polyline,GNU C++,Wrong answer on test 9,15 ms,0 KB
15544741,2016-01-24 04:14:41,617D - Polyline,GNU C++,Wrong answer on test 25,15 ms,0 KB
15544719,2016-01-24 04:11:26,617D - Polyline,GNU C++,Wrong answer on test 6,15 ms,0 KB
15544709,2016-01-24 04:09:17,617D - Polyline,GNU C++,Wrong answer on test 6,31 ms,0 KB
15544657,2016-01-24 04:01:34,617D - Polyline,GNU C++,Wrong answer on test 2,15 ms,0 KB
15537345,2016-01-23 20:33:01,617D - Polyline,GNU C++,Wrong answer on pretest 2,15 ms,0 KB
15535979,2016-01-23 20:20:27,617D - Polyline,GNU C++,Hacked,15 ms,0 KB
15531163,2016-01-23 19:43:30,617C - Watering Flowers,GNU C++,Wrong answer on pretest 4,0 ms,100 KB
15525334,2016-01-23 19:07:18,617B - Chocolate,GNU C++,Accepted,15 ms,0 KB
15521875,2016-01-23 18:50:45,617B - Chocolate,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
15521668,2016-01-23 18:49:55,617B - Chocolate,GNU C++,Compilation error,0 ms,0 KB
15520340,2016-01-23 18:45:12,617B - Chocolate,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
15518040,2016-01-23 18:38:44,617A - Elephant,GNU C++,Accepted,15 ms,0 KB
15481245,2016-01-21 19:40:36,620C - Pearls in a Row,GNU C++,Accepted,218 ms,11800 KB
15481154,2016-01-21 19:39:24,620C - Pearls in a Row,GNU C++,Wrong answer on test 1,0 ms,2400 KB
15479894,2016-01-21 19:22:03,620C - Pearls in a Row,GNU C++,Wrong answer on test 8,15 ms,2400 KB
15472806,2016-01-21 18:14:16,620B - Grandfather Dovlet’s calculator,GNU C++,Accepted,46 ms,0 KB
15470906,2016-01-21 18:04:40,620A - Professor GukiZ's Robot,GNU C++,Accepted,15 ms,0 KB
15437805,2016-01-19 12:30:57,616C - The Labyrinth,GNU C++,Accepted,155 ms,100400 KB
15437776,2016-01-19 12:28:33,616C - The Labyrinth,GNU C++,Wrong answer on test 12,30 ms,17300 KB
15434986,2016-01-19 07:22:22,614A - Link/Cut Tree,GNU C++,Accepted,15 ms,0 KB
15434906,2016-01-19 07:09:02,614A - Link/Cut Tree,GNU C++,Wrong answer on test 30,15 ms,0 KB
15407509,2016-01-16 21:17:43,616C - The Labyrinth,GNU C++,Time limit exceeded on test 12,1000 ms,4500 KB
15407437,2016-01-16 21:09:45,616C - The Labyrinth,GNU C++,Time limit exceeded on test 12,1000 ms,9200 KB
15407321,2016-01-16 20:56:53,616C - The Labyrinth,GNU C++,Time limit exceeded on test 12,1000 ms,13800 KB
15407114,2016-01-16 20:39:36,616C - The Labyrinth,GNU C++,Wrong answer on test 2,15 ms,2000 KB
15406924,2016-01-16 20:22:25,616B - Dinner with Emma,GNU C++,Accepted,15 ms,100 KB
15406780,2016-01-16 20:09:00,616A - Comparing Two Long Integers,GNU C++,Accepted,31 ms,2000 KB
15328279,2016-01-13 11:42:34,615A - Bulbs,GNU C++,Accepted,15 ms,0 KB
15193433,2016-01-05 19:31:02,600C - Make Palindrome,GNU C++,Wrong answer on test 7,15 ms,400 KB
15193386,2016-01-05 19:26:49,600C - Make Palindrome,GNU C++,Wrong answer on test 7,15 ms,400 KB
15193330,2016-01-05 19:20:58,600C - Make Palindrome,GNU C++,Wrong answer on test 4,15 ms,400 KB
15193313,2016-01-05 19:18:48,600C - Make Palindrome,GNU C++,Wrong answer on test 3,15 ms,400 KB
15166491,2016-01-03 12:19:33,516A - Drazil and Factorial,GNU C++,Accepted,15 ms,0 KB
15166483,2016-01-03 12:18:48,516A - Drazil and Factorial,GNU C++,Wrong answer on test 5,15 ms,0 KB
15166411,2016-01-03 12:07:17,516A - Drazil and Factorial,GNU C++,Wrong answer on test 1,15 ms,0 KB
15166393,2016-01-03 12:04:00,516A - Drazil and Factorial,GNU C++,Wrong answer on test 5,15 ms,0 KB
15164566,2016-01-03 07:33:17,508C - Anya and Ghosts,GNU C++,Wrong answer on test 27,30 ms,0 KB
15164546,2016-01-03 07:28:25,508C - Anya and Ghosts,GNU C++,Wrong answer on test 7,15 ms,0 KB
15164528,2016-01-03 07:25:27,508C - Anya and Ghosts,GNU C++,Wrong answer on test 5,15 ms,0 KB
15164288,2016-01-03 06:35:38,519C - A and B and Team Training,GNU C++,Accepted,15 ms,0 KB
15164246,2016-01-03 06:27:58,519C - A and B and Team Training,GNU C++,Wrong answer on test 5,15 ms,0 KB
15164236,2016-01-03 06:25:20,519C - A and B and Team Training,GNU C++,Wrong answer on test 1,0 ms,0 KB
15164231,2016-01-03 06:23:41,519C - A and B and Team Training,GNU C++,Wrong answer on test 3,15 ms,0 KB
15164157,2016-01-03 06:07:47,514B - Han Solo and Lazer Gun,GNU C++,Accepted,15 ms,0 KB
15157897,2016-01-02 14:40:02,603B - Moodular Arithmetic,GNU C++,Accepted,31 ms,0 KB
15132757,2015-12-31 08:38:20,607B - Zuma,GNU C++,Accepted,46 ms,1000 KB
15132731,2015-12-31 08:35:22,607B - Zuma,GNU C++,Wrong answer on test 14,15 ms,1000 KB
15132698,2015-12-31 08:32:10,607B - Zuma,GNU C++,Wrong answer on test 14,30 ms,1000 KB
15132665,2015-12-31 08:27:46,607B - Zuma,GNU C++,Wrong answer on test 14,30 ms,1000 KB
15132595,2015-12-31 08:18:07,607B - Zuma,GNU C++,Wrong answer on test 14,31 ms,1000 KB
15131955,2015-12-31 06:43:41,607B - Zuma,GNU C++,Wrong answer on test 7,15 ms,0 KB
15131861,2015-12-31 06:35:42,607B - Zuma,GNU C++,Wrong answer on test 7,15 ms,0 KB
15131639,2015-12-31 06:00:14,611C - New Year and Domino,GNU C++,Accepted,202 ms,3000 KB
15131427,2015-12-31 05:36:43,611B - New Year and Old Property,GNU C++,Accepted,15 ms,0 KB
15131384,2015-12-31 05:32:11,611B - New Year and Old Property,GNU C++,Accepted,15 ms,0 KB
15119636,2015-12-30 19:48:56,611B - New Year and Old Property,GNU C++,Wrong answer on pretest 4,15 ms,800 KB
15116560,2015-12-30 19:18:44,611A - New Year and Days,GNU C++,Accepted,15 ms,0 KB
15115461,2015-12-30 19:09:40,611C - New Year and Domino,GNU C++,Time limit exceeded on pretest 6,3000 ms,300 KB
15113349,2015-12-30 18:53:29,611A - New Year and Days,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
15111529,2015-12-30 18:42:42,611A - New Year and Days,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
15108806,2015-12-30 18:29:36,611A - New Year and Days,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
15107562,2015-12-30 18:25:13,611A - New Year and Days,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
15106566,2015-12-30 18:22:02,611A - New Year and Days,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
15101478,2015-12-30 17:47:38,610C - Harmony Analysis,GNU C++,Accepted,15 ms,1100 KB
15100976,2015-12-30 16:59:14,610B - Vika and Squares,GNU C++,Accepted,61 ms,1600 KB
15100456,2015-12-30 16:10:09,610A - Pasha and Stick,GNU C++,Accepted,15 ms,0 KB
15059611,2015-12-27 20:43:04,450B - Jzzhu and Sequences,GNU C++,Accepted,15 ms,0 KB
15058154,2015-12-27 18:31:09,608C - Chain Reaction,GNU C++,Accepted,62 ms,2000 KB
15058137,2015-12-27 18:29:42,608C - Chain Reaction,GNU C++,Wrong answer on test 9,46 ms,2000 KB
15058063,2015-12-27 18:24:41,608C - Chain Reaction,GNU C++,Wrong answer on test 9,31 ms,1200 KB
15056675,2015-12-27 17:07:02,608C - Chain Reaction,GNU C++,Wrong answer on test 9,31 ms,6200 KB
15040421,2015-12-27 09:55:14,612C - Replace To Make Regular Bracket Sequence,GNU C++,Accepted,171 ms,3900 KB
15040257,2015-12-27 09:33:09,612B - HDD is Outdated Technology,GNU C++,Accepted,358 ms,800 KB
15040180,2015-12-27 09:21:17,612A - The Text Splitting,GNU C++,Accepted,15 ms,0 KB
15040153,2015-12-27 09:18:28,612A - The Text Splitting,GNU C++,Wrong answer on test 1,0 ms,0 KB
15030225,2015-12-26 13:40:26,552C - Vanya and Scales,GNU C++,Accepted,15 ms,800 KB
14998456,2015-12-25 09:22:20,609D - Gadgets for dollars and pounds,GNU C++,Wrong answer on test 3,15 ms,3100 KB
14998444,2015-12-25 09:20:04,609D - Gadgets for dollars and pounds,GNU C++,Accepted,639 ms,9300 KB
14997986,2015-12-25 08:28:31,609C - Load Balancing,GNU C++,Accepted,186 ms,800 KB
14997922,2015-12-25 08:21:35,609B - The Best Gift,GNU C++,Accepted,218 ms,0 KB
14997828,2015-12-25 08:09:19,609A - USB Flash Drives,GNU C++,Accepted,30 ms,0 KB
14958061,2015-12-23 21:34:48,608C - Chain Reaction,GNU C++,Wrong answer on pretest 1,0 ms,1200 KB
14956032,2015-12-23 21:19:23,608B - Hamming Distance Sum,GNU C++,Accepted,62 ms,2000 KB
14951100,2015-12-23 20:34:13,608C - Chain Reaction,GNU C++,Time limit exceeded on pretest 6,2000 ms,4700 KB
14950575,2015-12-23 20:29:59,608C - Chain Reaction,GNU C++,Time limit exceeded on pretest 6,2000 ms,4700 KB
14950120,2015-12-23 20:26:39,608C - Chain Reaction,GNU C++,Time limit exceeded on pretest 6,2000 ms,4700 KB
14943350,2015-12-23 19:46:30,608A - Saitama Destroys Hotel,GNU C++,Accepted,15 ms,0 KB
14938145,2015-12-23 15:15:25,476C - Dreamoon and Sums,GNU C++,Accepted,15 ms,0 KB
14938089,2015-12-23 15:11:03,476C - Dreamoon and Sums,GNU C++,Wrong answer on test 11,15 ms,0 KB
14937832,2015-12-23 14:48:49,476C - Dreamoon and Sums,GNU C++,Wrong answer on test 16,15 ms,0 KB
14937554,2015-12-23 14:28:54,476C - Dreamoon and Sums,GNU C++,Wrong answer on test 11,15 ms,0 KB
14937092,2015-12-23 13:53:59,472C - Design Tutorial: Make It Nondeterministic,GNU C++,Accepted,1855 ms,19200 KB
14937074,2015-12-23 13:52:53,472C - Design Tutorial: Make It Nondeterministic,GNU C++,Runtime error on test 11,109 ms,1700 KB
14937018,2015-12-23 13:48:46,472C - Design Tutorial: Make It Nondeterministic,GNU C++,Wrong answer on test 2,15 ms,500 KB
14927353,2015-12-22 18:41:57,466C - Number of Ways,GNU C++,Accepted,1185 ms,19600 KB
14927306,2015-12-22 18:38:40,6C - Alice, Bob and Chocolate,GNU C++,Accepted,280 ms,400 KB
14927138,2015-12-22 18:27:05,466C - Number of Ways,GNU C++,Wrong answer on test 17,577 ms,19600 KB
14927023,2015-12-22 18:16:21,466C - Number of Ways,GNU C++,Wrong answer on test 17,577 ms,19600 KB
14926919,2015-12-22 18:07:43,466C - Number of Ways,GNU C++,Wrong answer on test 17,576 ms,19600 KB
14926894,2015-12-22 18:06:16,466C - Number of Ways,GNU C++,Wrong answer on test 6,109 ms,19600 KB
14926445,2015-12-22 17:29:40,466C - Number of Ways,GNU C++,Time limit exceeded on test 6,2000 ms,7800 KB
14926405,2015-12-22 17:26:02,466C - Number of Ways,GNU C++,Wrong answer on test 4,0 ms,7800 KB
14925979,2015-12-22 16:48:28,393A - Nineteen,GNU C++,Accepted,15 ms,0 KB
14897695,2015-12-20 14:01:01,131A - cAPS lOCK,GNU C++,Accepted,31 ms,0 KB
14897658,2015-12-20 13:57:48,131A - cAPS lOCK,GNU C++,Wrong answer on test 1,0 ms,0 KB
14897619,2015-12-20 13:53:29,131A - cAPS lOCK,GNU C++,Wrong answer on test 6,15 ms,0 KB
14897502,2015-12-20 13:43:02,116A - Tram,GNU C++,Accepted,92 ms,0 KB
14897383,2015-12-20 13:34:26,96A - Football,GNU C++,Accepted,30 ms,0 KB
14897303,2015-12-20 13:28:51,282A - Bit++,GNU C++,Accepted,15 ms,0 KB
14897215,2015-12-20 13:19:54,158B - Taxi,GNU C++,Accepted,280 ms,400 KB
14897031,2015-12-20 13:00:12,50A - Domino piling,GNU C++,Accepted,30 ms,0 KB
14897015,2015-12-20 12:58:53,118A - String Task,GNU C++,Accepted,30 ms,0 KB
14893366,2015-12-20 06:06:57,609C - Load Balancing,GNU C++,Accepted,31 ms,400 KB
14893282,2015-12-20 05:52:40,609B - The Best Gift,GNU C++,Accepted,31 ms,0 KB
14893268,2015-12-20 05:50:19,609B - The Best Gift,GNU C++,Wrong answer on test 19,15 ms,0 KB
14893181,2015-12-20 05:35:12,609A - USB Flash Drives,GNU C++,Accepted,15 ms,0 KB
14775388,2015-12-12 20:14:26,606C - Sorting Railway Cars,GNU C++,Accepted,46 ms,1600 KB
14775349,2015-12-12 20:12:18,606C - Sorting Railway Cars,GNU C++,Accepted,31 ms,1600 KB
14775323,2015-12-12 20:11:13,606C - Sorting Railway Cars,GNU C++,Accepted,31 ms,1600 KB
14775280,2015-12-12 20:08:02,606C - Sorting Railway Cars,GNU C++,Wrong answer on test 5,15 ms,1600 KB
14775199,2015-12-12 20:02:32,606C - Sorting Railway Cars,GNU C++,Wrong answer on test 5,15 ms,1600 KB
14774782,2015-12-12 19:33:14,606B - Testing Robots,GNU C++,Accepted,46 ms,1300 KB
14774399,2015-12-12 19:04:36,606A - Magic Spheres,GNU C++,Accepted,31 ms,0 KB
14770061,2015-12-12 10:13:02,600A - Extract Numbers,GNU C++,Wrong answer on test 2,30 ms,97900 KB
14769936,2015-12-12 10:03:58,600A - Extract Numbers,GNU C++,Wrong answer on test 10,46 ms,97900 KB
14769772,2015-12-12 09:53:23,600A - Extract Numbers,GNU C++,Wrong answer on test 10,46 ms,97900 KB
14769641,2015-12-12 09:42:46,228A - Is your horseshoe on the other hoof?,GNU C++,Accepted,62 ms,0 KB
14769584,2015-12-12 09:39:24,600A - Extract Numbers,GNU C++,Compilation error,0 ms,0 KB
14769554,2015-12-12 09:37:10,600A - Extract Numbers,GNU C++,Runtime error on test 9,46 ms,98000 KB
14769479,2015-12-12 09:28:28,600A - Extract Numbers,GNU C++,Runtime error on test 9,62 ms,146900 KB
14769430,2015-12-12 09:24:00,600A - Extract Numbers,GNU C++,Runtime error on test 9,77 ms,146900 KB
14769318,2015-12-12 09:07:20,600A - Extract Numbers,GNU C++,Wrong answer on test 2,15 ms,146900 KB
14769291,2015-12-12 09:03:08,600A - Extract Numbers,GNU C++,Memory limit exceeded on test 1,31 ms,262100 KB
14768865,2015-12-12 07:48:13,231A - Team,GNU C++,Accepted,30 ms,0 KB
14759672,2015-12-11 17:53:23,71A - Way Too Long Words,GNU C++,Accepted,30 ms,0 KB
14758997,2015-12-11 17:07:47,1B - Spreadsheet,GNU C++,Accepted,186 ms,0 KB
14758791,2015-12-11 16:53:52,1B - Spreadsheet,GNU C++,Wrong answer on test 5,30 ms,0 KB
14758657,2015-12-11 16:42:41,1B - Spreadsheet,GNU C++,Wrong answer on test 6,30 ms,0 KB
14758340,2015-12-11 16:19:52,1B - Spreadsheet,GNU C++,Wrong answer on test 6,0 ms,0 KB
14758176,2015-12-11 16:09:41,1B - Spreadsheet,GNU C++,Wrong answer on test 6,30 ms,0 KB
14757921,2015-12-11 15:55:29,1B - Spreadsheet,GNU C++,Wrong answer on test 4,30 ms,0 KB
14757892,2015-12-11 15:53:37,1B - Spreadsheet,GNU C++,Wrong answer on test 4,0 ms,0 KB
14757831,2015-12-11 15:49:43,1B - Spreadsheet,GNU C++,Wrong answer on test 6,30 ms,0 KB
14757700,2015-12-11 15:41:52,1B - Spreadsheet,GNU C++,Wrong answer on test 6,30 ms,0 KB
14757626,2015-12-11 15:36:00,1B - Spreadsheet,GNU C++,Wrong answer on test 6,30 ms,0 KB
14757147,2015-12-11 15:04:25,1A - Theatre Square,GNU C++,Accepted,30 ms,0 KB
14757103,2015-12-11 15:01:37,1A - Theatre Square,GNU C++,Wrong answer on test 16,30 ms,0 KB
14754621,2015-12-11 11:31:40,476B - Dreamoon and WiFi,GNU C++,Wrong answer on test 4,15 ms,0 KB
14754131,2015-12-11 10:42:45,577B - Modulo Sum,GNU C++,Wrong answer on test 11,15 ms,0 KB
14754106,2015-12-11 10:40:30,577B - Modulo Sum,GNU C++,Accepted,15 ms,0 KB
14754057,2015-12-11 10:36:45,577B - Modulo Sum,GNU C++,Wrong answer on test 11,15 ms,0 KB
14754035,2015-12-11 10:34:39,577B - Modulo Sum,GNU C++,Runtime error on test 13,15 ms,0 KB
14754019,2015-12-11 10:33:06,577B - Modulo Sum,GNU C++,Wrong answer on test 11,15 ms,0 KB
14753961,2015-12-11 10:26:22,577B - Modulo Sum,GNU C++,Wrong answer on test 11,15 ms,0 KB
14753539,2015-12-11 09:39:36,493A - Vasya and Football,GNU C++,Accepted,15 ms,0 KB
14753516,2015-12-11 09:36:15,493A - Vasya and Football,GNU C++,Wrong answer on test 3,0 ms,0 KB
14753502,2015-12-11 09:34:16,493A - Vasya and Football,GNU C++,Wrong answer on test 8,15 ms,0 KB
14753449,2015-12-11 09:27:27,493A - Vasya and Football,GNU C++,Wrong answer on test 6,15 ms,0 KB
14753338,2015-12-11 09:14:42,493A - Vasya and Football,GNU C++,Wrong answer on test 6,15 ms,0 KB
14753322,2015-12-11 09:12:41,493A - Vasya and Football,GNU C++,Wrong answer on test 6,15 ms,0 KB
14748044,2015-12-10 20:29:53,236A - Boy or Girl,GNU C++,Wrong answer on test 6,30 ms,0 KB
14748031,2015-12-10 20:29:04,236A - Boy or Girl,GNU C++,Accepted,30 ms,0 KB
14748018,2015-12-10 20:28:18,236A - Boy or Girl,GNU C++,Wrong answer on test 9,30 ms,0 KB
14748012,2015-12-10 20:27:47,236A - Boy or Girl,GNU C++,Wrong answer on test 11,30 ms,0 KB
14747998,2015-12-10 20:26:49,236A - Boy or Girl,GNU C++,Accepted,30 ms,0 KB
14747922,2015-12-10 20:22:07,236A - Boy or Girl,GNU C++,Wrong answer on test 19,30 ms,0 KB
14747805,2015-12-10 20:13:10,587A - Duff and Weight Lifting,GNU C++,Accepted,233 ms,7600 KB
14747764,2015-12-10 20:10:21,587A - Duff and Weight Lifting,GNU C++,Wrong answer on test 3,0 ms,600 KB
14747726,2015-12-10 20:07:13,606B - Testing Robots,GNU C++,Accepted,46 ms,700 KB
14747484,2015-12-10 19:51:23,605A - Sorting Railway Cars,GNU C++,Accepted,31 ms,1400 KB
14746790,2015-12-10 19:05:02,605A - Sorting Railway Cars,GNU C++,Wrong answer on test 21,30 ms,600 KB
14746708,2015-12-10 19:00:08,605A - Sorting Railway Cars,GNU C++,Wrong answer on test 21,31 ms,600 KB
14740557,2015-12-10 11:05:58,606A - Magic Spheres,GNU C++,Accepted,30 ms,0 KB
14698375,2015-12-08 16:12:30,597B - Restaurant,GNU C++,Accepted,233 ms,3700 KB
14698268,2015-12-08 16:05:13,603A - Alternative Thinking,GNU C++,Accepted,15 ms,0 KB
14698257,2015-12-08 16:04:31,603A - Alternative Thinking,GNU C++,Runtime error on test 8,15 ms,0 KB
14698183,2015-12-08 16:00:13,603A - Alternative Thinking,GNU C++,Wrong answer on test 1,0 ms,0 KB
14697411,2015-12-08 14:57:52,598B - Queries on a String,GNU C++,Accepted,15 ms,0 KB
14696127,2015-12-08 12:58:12,600B - Queries about less or equal elements,GNU C++,Accepted,156 ms,2200 KB
14695832,2015-12-08 12:27:38,596B - Wilbur and Array,GNU C++,Accepted,46 ms,1400 KB
14684020,2015-12-07 11:58:39,604B - More Cowbell,GNU C++,Accepted,31 ms,200 KB
14682485,2015-12-07 08:18:45,604B - More Cowbell,GNU C++,Time limit exceeded on test 10,2000 ms,200 KB
14682421,2015-12-07 08:09:17,604B - More Cowbell,GNU C++,Time limit exceeded on test 8,2000 ms,200 KB
14659810,2015-12-05 12:41:49,263A - Beautiful Matrix,GNU C++,Accepted,30 ms,0 KB
14659751,2015-12-05 12:34:57,596A - Wilbur and Swimming Pool,GNU C++,Accepted,15 ms,0 KB
14659669,2015-12-05 12:28:21,596A - Wilbur and Swimming Pool,GNU C++,Wrong answer on test 5,0 ms,0 KB
14659452,2015-12-05 12:06:30,596A - Wilbur and Swimming Pool,GNU C++,Wrong answer on test 5,15 ms,0 KB
14659268,2015-12-05 11:49:02,597A - Divisibility,GNU C++,Accepted,15 ms,0 KB
14659260,2015-12-05 11:48:05,597A - Divisibility,GNU C++,Compilation error,0 ms,0 KB
14659212,2015-12-05 11:44:14,597A - Divisibility,GNU C++,Accepted,15 ms,0 KB
14659095,2015-12-05 11:35:22,597A - Divisibility,GNU C++,Wrong answer on test 13,15 ms,0 KB
14659037,2015-12-05 11:29:30,597A - Divisibility,GNU C++,Wrong answer on test 65,15 ms,0 KB
14658841,2015-12-05 11:10:35,597A - Divisibility,GNU C++,Wrong answer on test 58,15 ms,0 KB
14656352,2015-12-05 06:09:09,597A - Divisibility,GNU C++,Wrong answer on test 16,15 ms,0 KB
14656311,2015-12-05 06:00:33,597A - Divisibility,GNU C++,Wrong answer on test 16,15 ms,0 KB
14656141,2015-12-05 05:07:16,597A - Divisibility,GNU C++,Wrong answer on test 16,15 ms,0 KB
14656113,2015-12-05 05:00:31,597A - Divisibility,GNU C++,Wrong answer on test 13,15 ms,0 KB
14656103,2015-12-05 04:58:34,597A - Divisibility,GNU C++,Time limit exceeded on test 1,1000 ms,0 KB
14656036,2015-12-05 04:38:28,599A - Patrick and Shopping,GNU C++,Accepted,15 ms,0 KB
14656034,2015-12-05 04:37:56,599A - Patrick and Shopping,GNU C++,Wrong answer on test 1,15 ms,0 KB
14656021,2015-12-05 04:33:49,599A - Patrick and Shopping,GNU C++,Wrong answer on test 3,15 ms,0 KB
14650817,2015-12-04 19:00:49,599B - Spongebob and Joke,GNU C++,Accepted,187 ms,7100 KB
14650805,2015-12-04 19:00:00,599B - Spongebob and Joke,GNU C++,Wrong answer on test 1,0 ms,600 KB
14650741,2015-12-04 18:54:25,599B - Spongebob and Joke,GNU C++,Runtime error on test 1,0 ms,600 KB
14641658,2015-12-04 05:48:36,593A - 2Char,GNU C++,Accepted,15 ms,0 KB
14634369,2015-12-03 16:29:54,599B - Spongebob and Joke,GNU C++,Wrong answer on test 10,77 ms,15700 KB
14634146,2015-12-03 16:15:07,599B - Spongebob and Joke,GNU C++,Wrong answer on test 10,78 ms,1600 KB
14631728,2015-12-03 12:48:33,599B - Spongebob and Joke,GNU C++,Wrong answer on test 10,78 ms,1400 KB
14631629,2015-12-03 12:39:10,599B - Spongebob and Joke,GNU C++,Wrong answer on test 10,62 ms,1400 KB
14631595,2015-12-03 12:37:11,599B - Spongebob and Joke,GNU C++,Time limit exceeded on test 3,2000 ms,1400 KB
14630666,2015-12-03 11:19:31,598A - Tricky Sum,GNU C++,Accepted,15 ms,0 KB
14630592,2015-12-03 11:13:21,598A - Tricky Sum,GNU C++,Wrong answer on test 1,0 ms,0 KB
14630560,2015-12-03 11:10:24,598A - Tricky Sum,GNU C++,Wrong answer on test 1,0 ms,0 KB
14630326,2015-12-03 10:52:44,158A - Next Round,GNU C++,Accepted,30 ms,0 KB
14630212,2015-12-03 10:43:36,604A - Uncowed Forces,GNU C++,Accepted,15 ms,0 KB
14610037,2015-12-02 03:13:52,602A - Two Bases,GNU C++,Accepted,15 ms,0 KB
