ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3243
19263863,2016-07-20 01:35:40,699B - One Bomb,GNU C++,Time limit exceeded on test 66,1000 ms,1000 KB
19263824,2016-07-20 01:28:10,699D - Fix a Tree,GNU C++,Wrong answer on test 13,140 ms,13700 KB
19263767,2016-07-20 01:21:05,699B - One Bomb,GNU C++,Wrong answer on test 51,31 ms,1000 KB
19263617,2016-07-20 01:03:21,699B - One Bomb,GNU C++,Wrong answer on test 53,15 ms,1000 KB
19255521,2016-07-19 18:15:18,699D - Fix a Tree,GNU C++,Wrong answer on pretest 5,15 ms,4300 KB
19252951,2016-07-19 17:57:38,699D - Fix a Tree,GNU C++,Wrong answer on pretest 5,15 ms,4300 KB
19252039,2016-07-19 17:50:57,699D - Fix a Tree,GNU C++,Wrong answer on pretest 4,15 ms,3500 KB
19251199,2016-07-19 17:45:08,699D - Fix a Tree,GNU C++,Wrong answer on pretest 5,15 ms,3500 KB
19250615,2016-07-19 17:41:08,699D - Fix a Tree,GNU C++,Wrong answer on pretest 5,15 ms,3500 KB
19243188,2016-07-19 16:55:09,699C - Vacations,GNU C++,Accepted,31 ms,0 KB
19238944,2016-07-19 16:35:10,699B - One Bomb,GNU C++,Wrong answer on test 20,15 ms,1000 KB
19235047,2016-07-19 16:19:46,699A - Launch of Collider,GNU C++,Accepted,46 ms,1000 KB
19172217,2016-07-16 14:24:14,696C - PLEASE,GNU C++,Accepted,46 ms,0 KB
19167930,2016-07-16 10:14:33,697D - Puzzles,GNU C++,Accepted,140 ms,7500 KB
19165078,2016-07-16 06:47:41,697C - Lorenzo Von Matterhorn,GNU C++,Accepted,46 ms,3800 KB
19164654,2016-07-16 06:04:57,697B - Barnicle,GNU C++,Accepted,15 ms,0 KB
19164130,2016-07-16 05:20:18,697A - Pineapple Incident,GNU C++,Accepted,15 ms,0 KB
19164074,2016-07-16 05:16:29,697A - Pineapple Incident,GNU C++,Wrong answer on test 8,15 ms,0 KB
18951040,2016-07-07 15:18:21,689A - Mike and Cellphone,GNU C++,Accepted,15 ms,0 KB
