ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15163
21110887,2016-10-02 12:44:55,721D - Maxim and Array,GNU C++,Compilation error,0 ms,0 KB
21110744,2016-10-02 12:37:33,721A - One-dimensional Japanese Crossword,GNU C++,Accepted,15 ms,0 KB
21110707,2016-10-02 12:35:00,721A - One-dimensional Japanese Crossword,GNU C++,Wrong answer on test 5,15 ms,0 KB
21110669,2016-10-02 12:32:57,721B - Passwords,GNU C++,Accepted,31 ms,0 KB
21110641,2016-10-02 12:31:09,721A - One-dimensional Japanese Crossword,GNU C++,Wrong answer on test 5,15 ms,0 KB
21110597,2016-10-02 12:29:05,721A - One-dimensional Japanese Crossword,GNU C++,Wrong answer on test 3,30 ms,0 KB
20918860,2016-09-26 06:34:48,706E - Working routine,GNU C++,Accepted,1060 ms,11900 KB
20918769,2016-09-26 06:20:00,720A - Closing ceremony,GNU C++,Accepted,998 ms,700 KB
20918752,2016-09-26 06:16:36,718A - Efim and Strange Grade,GNU C++,Accepted,31 ms,200 KB
20892607,2016-09-24 19:18:27,718C - Sasha and Array,GNU C++,Accepted,3884 ms,25500 KB
20892410,2016-09-24 19:07:49,718C - Sasha and Array,GNU C++,Accepted,4133 ms,25400 KB
20892062,2016-09-24 18:49:27,718C - Sasha and Array,GNU C++,Time limit exceeded on test 50,5000 ms,25400 KB
20891697,2016-09-24 18:32:53,718C - Sasha and Array,GNU C++,Time limit exceeded on test 20,5000 ms,12900 KB
20890901,2016-09-24 17:56:11,718C - Sasha and Array,GNU C++,Time limit exceeded on test 20,5000 ms,12900 KB
20882897,2016-09-24 10:43:22,718C - Sasha and Array,GNU C++,Time limit exceeded on test 18,5000 ms,25500 KB
20866295,2016-09-23 18:16:12,715B - Complete The Graph,GNU C++11,Accepted,577 ms,10900 KB
20850884,2016-09-23 16:45:49,719B - Anatoly and Cockroaches,GNU C++11,Accepted,15 ms,100 KB
20840630,2016-09-23 16:15:31,719A - Vitya in the Countryside,GNU C++11,Accepted,30 ms,0 KB
20712837,2016-09-17 19:39:45,716C - Plus and Square Root,GNU C++11,Accepted,62 ms,0 KB
20711445,2016-09-17 18:43:57,716C - Plus and Square Root,GNU C++11,Wrong answer on pretest 5,264 ms,0 KB
20697398,2016-09-17 17:33:23,716B - Complete the Word,GNU C++11,Accepted,15 ms,100 KB
20696105,2016-09-17 17:27:51,716B - Complete the Word,GNU C++11,Runtime error on pretest 1,0 ms,0 KB
20693856,2016-09-17 17:19:08,716B - Complete the Word,GNU C++11,Wrong answer on pretest 6,15 ms,100 KB
20690522,2016-09-17 17:07:00,716B - Complete the Word,GNU C++11,Wrong answer on pretest 6,15 ms,0 KB
20685629,2016-09-17 16:51:38,716A - Crazy Computer,GNU C++11,Accepted,46 ms,400 KB
20431845,2016-09-07 11:53:38,711D - Directed Roads,GNU C++11,Accepted,62 ms,2400 KB
20431626,2016-09-07 11:40:21,711C - Coloring Trees,GNU C++11,Accepted,156 ms,10000 KB
20268130,2016-08-30 05:22:38,711B - Chris and Magic Square,GNU C++11,Accepted,93 ms,1000 KB
20268094,2016-08-30 05:20:59,711B - Chris and Magic Square,GNU C++11,Wrong answer on test 7,15 ms,1000 KB
20267864,2016-08-30 05:00:27,711A - Bus to Udayland,GNU C++11,Accepted,15 ms,0 KB
20267853,2016-08-30 04:59:31,711A - Bus to Udayland,GNU C++11,Wrong answer on test 5,15 ms,0 KB
20267839,2016-08-30 04:58:36,711A - Bus to Udayland,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20176499,2016-08-26 16:56:41,709C - Letters Cyclic Shift,GNU C++11,Accepted,31 ms,2100 KB
20176299,2016-08-26 16:45:42,709B - Checkpoints,GNU C++11,Accepted,31 ms,2400 KB
20176237,2016-08-26 16:42:53,709A - Juicer,GNU C++11,Accepted,218 ms,2000 KB
20176104,2016-08-26 16:34:41,710C - Magic Odd Square,GNU C++11,Accepted,15 ms,1800 KB
20141384,2016-08-25 05:11:33,710B - Optimal Point on a Line,GNU C++11,Accepted,93 ms,3000 KB
20141331,2016-08-25 05:06:52,710A - King Moves,GNU C++11,Accepted,15 ms,2000 KB
20141304,2016-08-25 05:05:29,710A - King Moves,GNU C++11,Accepted,30 ms,2000 KB
20141233,2016-08-25 05:00:38,707C - Pythagorean Triples,GNU C++11,Accepted,31 ms,2000 KB
20141038,2016-08-25 04:44:45,707B - Bakery,GNU C++11,Accepted,61 ms,3300 KB
20140171,2016-08-25 03:30:03,707A - Brain's Photos,GNU C++11,Accepted,15 ms,2000 KB
19906450,2016-08-16 14:58:53,706D - Vasiliy's Multiset,GNU C++11,Accepted,296 ms,111800 KB
19906190,2016-08-16 14:43:49,706D - Vasiliy's Multiset,GNU C++11,Accepted,296 ms,111800 KB
