ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:2383
358146,2011-03-26 20:23:24,70C - Lucky Tickets,Java 6,Wrong answer on pretest 5,190 ms,42300 KB
356354,2011-03-26 19:27:49,70B - Text Messaging,Java 6,Wrong answer on pretest 5,90 ms,42300 KB
355558,2011-03-26 19:13:42,70A - Cookies,Java 6,Accepted,60 ms,42300 KB
355491,2011-03-26 19:12:42,70A - Cookies,Java 6,Wrong answer on pretest 1,30 ms,42300 KB
341211,2011-03-18 19:23:46,68B - Energy exchange,Java 6,Accepted,110 ms,42300 KB
340605,2011-03-18 19:09:47,68A - Irrational problem,Java 6,Accepted,140 ms,42300 KB
245229,2011-01-11 11:50:55,54C - First Digit Law,Java 6,Accepted,110 ms,42400 KB
245159,2011-01-11 11:47:23,54C - First Digit Law,Java 6,Skipped,80 ms,42400 KB
245042,2011-01-11 11:40:47,54C - First Digit Law,Java 6,Wrong answer on pretest 5,50 ms,42400 KB
244581,2011-01-11 11:22:42,54A - Presents,Java 6,Accepted,90 ms,42400 KB
244528,2011-01-11 11:21:04,54A - Presents,Java 6,Wrong answer on pretest 3,50 ms,42300 KB
228199,2010-12-20 20:33:41,50C - Happy Farm 5,Java 6,Accepted,170 ms,42300 KB
227649,2010-12-20 20:06:47,50D - Bombing,Java 6,Accepted,110 ms,42300 KB
226187,2010-12-20 19:24:39,50B - Choosing Symbol Pairs,Java 6,Accepted,90 ms,42300 KB
225831,2010-12-20 19:21:29,50A - Domino piling,Java 6,Accepted,90 ms,42300 KB
197174,2010-11-18 19:34:43,42B - Game of chess unfinished,Java 6,Accepted,90 ms,42300 KB
197001,2010-11-18 19:27:50,42B - Game of chess unfinished,Java 6,Wrong answer on pretest 6,80 ms,42300 KB
196559,2010-11-18 19:10:31,42A - Guilty --- to the kitchen!,Java 6,Accepted,90 ms,42300 KB
169248,2010-10-26 10:28:16,37C - Old Berland Language,Java 6,Accepted,90 ms,42400 KB
168053,2010-10-25 20:39:04,37C - Old Berland Language,Java 6,Wrong answer on pretest 3,50 ms,42300 KB
167486,2010-10-25 20:14:32,37C - Old Berland Language,Java 6,Wrong answer on pretest 3,50 ms,42300 KB
167360,2010-10-25 20:09:23,37C - Old Berland Language,Java 6,Wrong answer on pretest 3,50 ms,42300 KB
167348,2010-10-25 20:09:00,37C - Old Berland Language,Java 6,Presentation error on pretest 1,50 ms,42300 KB
165947,2010-10-25 19:17:19,37B - Computer Game,Java 6,Accepted,90 ms,42300 KB
165465,2010-10-25 19:05:18,37A - Towers,Java 6,Accepted,90 ms,42300 KB
165464,2010-10-25 19:05:18,37A - Towers,Java 6,Skipped,80 ms,42300 KB
158271,2010-10-19 15:41:57,36D - New Game with a Chess Piece,Java 6,Accepted,60 ms,42300 KB
157735,2010-10-19 14:42:05,36D - New Game with a Chess Piece,Java 6,Wrong answer on pretest 2,50 ms,42300 KB
157573,2010-10-19 14:28:39,36D - New Game with a Chess Piece,Java 6,Wrong answer on pretest 2,30 ms,42300 KB
157265,2010-10-19 14:11:40,36B - Fractal,Java 6,Accepted,90 ms,42400 KB
157053,2010-10-19 14:03:26,36A - Extra-terrestrial Intelligence,Java 6,Accepted,90 ms,42400 KB
150781,2010-10-11 20:33:31,34E - Collisions,Java 6,Accepted,90 ms,42300 KB
150779,2010-10-11 20:33:14,34E - Collisions,Java 6,Accepted,80 ms,42300 KB
150753,2010-10-11 20:25:36,34E - Collisions,Java 6,Wrong answer on test 21,90 ms,42300 KB
150751,2010-10-11 20:25:15,34E - Collisions,Java 6,Compilation error,0 ms,0 KB
150745,2010-10-11 20:23:04,34E - Collisions,Java 6,Wrong answer on test 21,80 ms,42300 KB
150742,2010-10-11 20:22:41,34E - Collisions,Java 6,Wrong answer on test 21,90 ms,42300 KB
149760,2010-10-11 18:10:52,34E - Collisions,Java 6,Wrong answer on test 21,80 ms,42300 KB
149072,2010-10-11 17:35:01,34E - Collisions,Java 6,Skipped,60 ms,42300 KB
148397,2010-10-11 17:17:51,34D - Road Map,Java 6,Accepted,220 ms,45000 KB
148032,2010-10-11 17:11:16,34C - Page Numbers,Java 6,Accepted,60 ms,42300 KB
147742,2010-10-11 17:06:36,34B - Sale,Java 6,Accepted,80 ms,42300 KB
147645,2010-10-11 17:04:37,34A - Reconnaissance 2,Java 6,Accepted,90 ms,42300 KB
147612,2010-10-11 17:03:26,34A - Reconnaissance 2,Java 6,Wrong answer on pretest 3,50 ms,42300 KB
144377,2010-10-07 20:34:43,33B - String Problem,Java 6,Accepted,140 ms,42300 KB
144032,2010-10-07 20:19:54,33B - String Problem,Java 6,Runtime error on pretest 1,60 ms,42300 KB
144002,2010-10-07 20:18:44,33D - Knights,Java 6,Accepted,440 ms,42400 KB
143330,2010-10-07 19:54:02,33C - Wonderful Randomized Sum,Java 6,Accepted,110 ms,42300 KB
142944,2010-10-07 19:42:23,33C - Wonderful Randomized Sum,Java 6,Wrong answer on pretest 5,60 ms,42300 KB
142734,2010-10-07 19:36:21,33C - Wonderful Randomized Sum,Java 6,Wrong answer on pretest 5,50 ms,42300 KB
142037,2010-10-07 19:16:41,33B - String Problem,Java 6,Hacked,60 ms,42300 KB
141951,2010-10-07 19:14:17,33B - String Problem,Java 6,Wrong answer on pretest 1,30 ms,42300 KB
141589,2010-10-07 19:05:34,33A - What is for dinner?,Java 6,Accepted,80 ms,42300 KB
138146,2010-10-02 11:29:41,32D - Constellation,Java 6,Accepted,110 ms,42400 KB
137949,2010-10-02 11:19:38,32B - Borze,Java 6,Accepted,60 ms,42400 KB
137918,2010-10-02 11:18:50,32C - Flea,Java 6,Accepted,80 ms,42400 KB
137845,2010-10-02 11:15:53,32C - Flea,Java 6,Wrong answer on pretest 5,60 ms,42400 KB
137549,2010-10-02 11:04:17,32A - Reconnaissance,Java 6,Accepted,90 ms,42400 KB
128778,2010-09-24 19:35:22,30C - Shooting Gallery,Java 6,Accepted,110 ms,41900 KB
128449,2010-09-24 19:26:33,30B - Codeforces World Finals,Java 6,Accepted,80 ms,41900 KB
127827,2010-09-24 19:09:20,30A - Accounting,Java 6,Accepted,60 ms,41900 KB
122695,2010-09-17 19:50:33,28A - Bender Problem,Java 6,Accepted,340 ms,95300 KB
122654,2010-09-17 19:47:04,28A - Bender Problem,Java 6,Wrong answer on pretest 6,360 ms,95300 KB
122617,2010-09-17 19:44:06,28A - Bender Problem,Java 6,Wrong answer on pretest 6,80 ms,41900 KB
114722,2010-08-16 20:40:16,26D - Tickets,Java 6,Wrong answer on pretest 4,80 ms,41900 KB
113040,2010-08-16 19:05:57,26B - Regular Bracket Sequence,Java 6,Accepted,110 ms,41900 KB
112922,2010-08-16 19:02:34,26A - Almost Prime,Java 6,Accepted,90 ms,41900 KB
76508,2010-06-10 20:09:51,17B - Hierarchy,Java 6,Accepted,130 ms,41400 KB
75840,2010-06-10 19:34:31,17B - Hierarchy,Java 6,Wrong answer on test 12,80 ms,41400 KB
75715,2010-06-10 19:30:02,17B - Hierarchy,Java 6,Wrong answer on test 12,80 ms,41400 KB
75018,2010-06-10 19:07:27,17A - Noldbach problem,Java 6,Accepted,80 ms,41400 KB
58096,2010-05-06 19:43:16,13B - Letter A,Java 6,Accepted,140 ms,30000 KB
58002,2010-05-06 19:40:04,13B - Letter A,Java 6,Wrong answer on test 2,140 ms,30000 KB
57351,2010-05-06 19:10:27,13B - Letter A,Java 6,Wrong answer on test 2,140 ms,30000 KB
55908,2010-05-06 18:05:50,13A - Numbers,Java 6,Accepted,90 ms,30000 KB
44926,2010-04-15 21:33:58,10E - Greedy Change,Java 6,Wrong answer on test 3,80 ms,30000 KB
44650,2010-04-15 21:13:29,10E - Greedy Change,Java 6,Wrong answer on test 5,60 ms,30000 KB
44190,2010-04-15 20:39:00,10B - Cinema Cashier,Java 6,Accepted,160 ms,30000 KB
43703,2010-04-15 20:13:08,10C - Digital Root,Java 6,Accepted,90 ms,30000 KB
43671,2010-04-15 20:11:25,10C - Digital Root,Java 6,Wrong answer on test 15,90 ms,30000 KB
43197,2010-04-15 19:53:05,10A - Power Consumption Calculation,Java 6,Accepted,90 ms,30000 KB
43134,2010-04-15 19:50:39,10A - Power Consumption Calculation,Java 6,Wrong answer on test 3,60 ms,30000 KB
36095,2010-04-08 21:03:06,8C - Looking for Order,Java 6,Accepted,4410 ms,209100 KB
36003,2010-04-08 20:57:57,8C - Looking for Order,Java 6,Time limit exceeded on test 7,7500 ms,30000 KB
35688,2010-04-08 20:42:03,8C - Looking for Order,Java 6,Time limit exceeded on test 12,7500 ms,209100 KB
35015,2010-04-08 20:18:42,8A - Train and Peter,Java 6,Accepted,130 ms,30000 KB
34722,2010-04-08 20:10:26,8B - Obsession with Robots,Java 6,Accepted,60 ms,30000 KB
34364,2010-04-08 20:01:38,8B - Obsession with Robots,Java 6,Wrong answer on test 9,60 ms,30000 KB
31874,2010-04-01 21:32:38,7D - Palindrome Degree,Java 6,Accepted,590 ms,134600 KB
31354,2010-04-01 21:09:39,7C - Line,Java 6,Accepted,80 ms,30000 KB
31290,2010-04-01 21:07:30,7C - Line,Java 6,Wrong answer on test 3,50 ms,30000 KB
31234,2010-04-01 21:05:56,7C - Line,Java 6,Wrong answer on test 3,50 ms,30000 KB
30999,2010-04-01 20:54:37,7C - Line,Java 6,Wrong answer on test 3,60 ms,30000 KB
30503,2010-04-01 20:36:19,7B - Memory Manager,Java 6,Accepted,80 ms,30000 KB
29831,2010-04-01 20:12:51,7B - Memory Manager,Java 6,Wrong answer on test 42,60 ms,30000 KB
29780,2010-04-01 20:10:51,7B - Memory Manager,Java 6,Wrong answer on test 42,80 ms,30000 KB
29155,2010-04-01 19:50:02,7A - Kalevitch and Chess,Java 6,Accepted,60 ms,30000 KB
23471,2010-03-20 20:38:52,5D - Follow Traffic Rules,Java 6,Accepted,60 ms,29300 KB
23346,2010-03-20 20:30:03,5D - Follow Traffic Rules,Java 6,Wrong answer on test 17,60 ms,29300 KB
22654,2010-03-20 19:44:11,5C - Longest Regular Bracket Sequence,Java 6,Accepted,300 ms,54800 KB
22605,2010-03-20 19:41:50,5C - Longest Regular Bracket Sequence,Java 6,Wrong answer on test 6,50 ms,29200 KB
22517,2010-03-20 19:36:57,5C - Longest Regular Bracket Sequence,Java 6,Wrong answer on test 4,50 ms,29300 KB
22343,2010-03-20 19:29:35,5C - Longest Regular Bracket Sequence,Java 6,Wrong answer on test 3,50 ms,29200 KB
21971,2010-03-20 19:16:08,5B - Center Alignment,Java 6,Accepted,170 ms,29300 KB
21644,2010-03-20 19:04:19,5A - Chat Servers Outgoing Traffic,Java 6,Accepted,60 ms,29300 KB
17047,2010-03-12 15:35:59,4D - Mysterious Present,Java 6,Accepted,500 ms,29900 KB
16929,2010-03-12 15:28:49,4D - Mysterious Present,Java 6,Wrong answer on test 8,80 ms,29900 KB
16525,2010-03-12 15:09:54,4C - Registration System,Java 6,Accepted,230 ms,39500 KB
16419,2010-03-12 15:06:24,4B - Before an Exam,Java 6,Accepted,80 ms,29900 KB
16208,2010-03-12 15:01:57,4A - Watermelon,Java 6,Accepted,80 ms,29900 KB
7398,2010-02-25 20:21:18,2A - Winner,Java 6,Accepted,140 ms,29900 KB
7368,2010-02-25 20:18:23,2A - Winner,Java 6,Wrong answer on test 10,80 ms,29900 KB
7340,2010-02-25 20:14:04,2A - Winner,Java 6,Wrong answer on test 10,80 ms,29900 KB
393,2010-02-19 16:32:56,1C - Ancient Berland Circus,Java 6,Wrong answer on test 6,80 ms,30000 KB
374,2010-02-19 16:28:05,1C - Ancient Berland Circus,Java 6,Wrong answer on test 6,90 ms,30000 KB
364,2010-02-19 16:26:35,1C - Ancient Berland Circus,Java 6,Wrong answer on test 2,90 ms,30000 KB
360,2010-02-19 16:25:48,1C - Ancient Berland Circus,Java 6,Wrong answer on test 6,80 ms,30000 KB
247,2010-02-19 15:59:38,1C - Ancient Berland Circus,Java 6,Wrong answer on test 5,90 ms,30000 KB
211,2010-02-19 15:51:31,1C - Ancient Berland Circus,Java 6,Wrong answer on test 2,60 ms,30000 KB
149,2010-02-19 15:26:26,1B - Spreadsheet,Java 6,Accepted,380 ms,30000 KB
77,2010-02-19 15:07:21,1A - Theatre Square,Java 6,Accepted,80 ms,30000 KB
