ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15975
20865273,2016-09-23 18:02:10,719C - Efim and Strange Grade,GNU C++,Wrong answer on pretest 4,15 ms,200 KB
20841809,2016-09-23 16:18:13,719A - Vitya in the Countryside,GNU C,Accepted,31 ms,100 KB
20693306,2016-09-17 17:16:58,716A - Crazy Computer,GNU C,Accepted,31 ms,0 KB
