ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8788
18041970,2016-05-23 13:24:22,139A - Petr and Book,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
18039968,2016-05-23 09:41:52,415A - Mashmokh and Lights,GNU C++11,Accepted,15 ms,2200 KB
18039943,2016-05-23 09:40:19,415A - Mashmokh and Lights,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
18039771,2016-05-23 09:26:23,629B - Far Relative’s Problem,GNU C++11,Accepted,31 ms,2200 KB
18039767,2016-05-23 09:25:52,629B - Far Relative’s Problem,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
18039655,2016-05-23 09:13:41,629B - Far Relative’s Problem,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
18039536,2016-05-23 08:56:43,629B - Far Relative’s Problem,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
18038982,2016-05-23 07:37:08,472C - Design Tutorial: Make It Nondeterministic,GNU C++11,Accepted,1965 ms,21200 KB
18038973,2016-05-23 07:36:34,472C - Design Tutorial: Make It Nondeterministic,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
18038943,2016-05-23 07:31:29,472C - Design Tutorial: Make It Nondeterministic,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
18038698,2016-05-23 06:45:52,606A - Magic Spheres,GNU C++11,Accepted,30 ms,2200 KB
18038692,2016-05-23 06:45:06,606A - Magic Spheres,GNU C++11,Wrong answer on test 8,15 ms,2200 KB
18038664,2016-05-23 06:40:22,152A - Marks,GNU C++11,Accepted,15 ms,2200 KB
18034051,2016-05-22 19:34:54,389A - Fox and Number Game,GNU C++11,Accepted,15 ms,2200 KB
18033461,2016-05-22 18:37:03,246A - Buggy Sorting,GNU C++11,Accepted,15 ms,2200 KB
18033375,2016-05-22 18:29:31,158D - Ice Sculptures,GNU C++11,Accepted,92 ms,2200 KB
18033015,2016-05-22 17:57:57,272A - Dima and Friends,GNU C++11,Accepted,30 ms,2200 KB
18032968,2016-05-22 17:52:45,265B - Roadside Trees (Simplified Edition),GNU C++11,Accepted,342 ms,2000 KB
18032664,2016-05-22 17:24:17,620B - Grandfather Dovlet’s calculator,GNU C++11,Accepted,15 ms,2200 KB
18032244,2016-05-22 16:43:31,570C - Replacement,GNU C++11,Accepted,249 ms,3200 KB
18032173,2016-05-22 16:36:56,570C - Replacement,GNU C++11,Time limit exceeded on test 48,2000 ms,3200 KB
18032157,2016-05-22 16:35:18,570C - Replacement,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
18032123,2016-05-22 16:32:52,570C - Replacement,GNU C++11,Time limit exceeded on test 48,2000 ms,3200 KB
18032115,2016-05-22 16:32:11,570C - Replacement,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
18031547,2016-05-22 15:50:36,624B - Making a String,GNU C++11,Accepted,15 ms,2200 KB
18031519,2016-05-22 15:48:15,624B - Making a String,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
18031450,2016-05-22 15:41:39,557B - Pasha and Tea,GNU C++11,Accepted,499 ms,2900 KB
18031441,2016-05-22 15:40:38,557B - Pasha and Tea,GNU C++11,Wrong answer on test 4,0 ms,2000 KB
