ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:19819
15826593,2016-02-05 16:59:04,166A - Rank List,GNU C++,Wrong answer on test 1,0 ms,0 KB
15826476,2016-02-05 16:52:54,166A - Rank List,GNU C++,Wrong answer on test 9,30 ms,0 KB
15801993,2016-02-04 20:49:12,624B - Making a String,GNU C++,Accepted,15 ms,0 KB
15793746,2016-02-04 20:13:34,624A - Save Luke,GNU C++,Accepted,15 ms,0 KB
15788636,2016-02-04 17:15:35,557B - Pasha and Tea,GNU C++,Accepted,499 ms,1600 KB
15788559,2016-02-04 17:11:22,557B - Pasha and Tea,GNU C++,Wrong answer on test 4,15 ms,0 KB
15776587,2016-02-03 22:37:36,580C - Kefa and Park,GNU C++,Accepted,93 ms,16600 KB
15775369,2016-02-03 21:21:35,580C - Kefa and Park,GNU C++,Wrong answer on test 9,15 ms,3900 KB
15775075,2016-02-03 21:03:43,580C - Kefa and Park,GNU C++,Wrong answer on test 8,15 ms,3900 KB
15757529,2016-02-02 23:02:54,115A - Party,GNU C++,Accepted,30 ms,200 KB
15757481,2016-02-02 22:59:00,115A - Party,GNU C++,Wrong answer on test 10,30 ms,0 KB
15757456,2016-02-02 22:57:17,115A - Party,GNU C++,Wrong answer on test 7,30 ms,0 KB
15757276,2016-02-02 22:42:51,115A - Party,GNU C++,Wrong answer on test 8,30 ms,100 KB
15756798,2016-02-02 22:08:37,115A - Party,GNU C++,Wrong answer on test 14,30 ms,0 KB
15749653,2016-02-02 15:21:50,445A - DZY Loves Chessboard,GNU C++,Accepted,15 ms,0 KB
15685381,2016-01-30 23:30:42,520B - Two Buttons,GNU C++,Accepted,15 ms,0 KB
15685359,2016-01-30 23:28:21,520B - Two Buttons,GNU C++,Wrong answer on test 5,15 ms,0 KB
15681881,2016-01-30 19:22:52,535B - Tavas and SaDDas,GNU C++,Accepted,15 ms,3900 KB
15679978,2016-01-30 17:25:05,474B - Worms,GNU C++,Accepted,78 ms,400 KB
15675884,2016-01-30 12:28:26,467B - Fedor and New Game,GNU C++,Accepted,15 ms,0 KB
15672183,2016-01-30 07:49:56,579A - Raising Bacteria,GNU C++,Accepted,15 ms,0 KB
15672117,2016-01-30 07:42:58,579A - Raising Bacteria,GNU C++,Time limit exceeded on test 1,1000 ms,0 KB
15634798,2016-01-28 21:42:00,492B - Vanya and Lanterns,GNU C++,Accepted,15 ms,0 KB
15634707,2016-01-28 21:33:23,492B - Vanya and Lanterns,GNU C++,Wrong answer on test 9,15 ms,0 KB
15633406,2016-01-28 19:57:17,567A - Lineland Mail,GNU C++,Accepted,62 ms,400 KB
15609100,2016-01-27 13:04:51,500A - New Year Transportation,GNU C++,Accepted,30 ms,100 KB
15608988,2016-01-27 12:56:05,500A - New Year Transportation,GNU C++,Wrong answer on test 13,15 ms,100 KB
15608871,2016-01-27 12:47:18,500A - New Year Transportation,GNU C++,Wrong answer on test 11,15 ms,100 KB
15582640,2016-01-26 00:01:01,580A - Kefa and First Steps,GNU C++,Accepted,31 ms,400 KB
15582599,2016-01-25 23:57:53,580A - Kefa and First Steps,GNU C++,Wrong answer on test 12,15 ms,400 KB
15582561,2016-01-25 23:55:31,580A - Kefa and First Steps,GNU C++,Wrong answer on test 9,15 ms,0 KB
15582513,2016-01-25 23:52:49,580A - Kefa and First Steps,GNU C++,Wrong answer on test 9,15 ms,0 KB
15582230,2016-01-25 23:33:46,337A - Puzzles,GNU C++,Accepted,30 ms,0 KB
15582178,2016-01-25 23:30:15,337A - Puzzles,GNU C++,Wrong answer on test 2,30 ms,0 KB
15572687,2016-01-25 15:14:04,266B - Queue at the School,GNU C++,Accepted,30 ms,0 KB
15572524,2016-01-25 15:03:55,266B - Queue at the School,GNU C++,Wrong answer on test 6,30 ms,0 KB
15185049,2016-01-04 22:47:37,339A - Helpful Maths,GNU C++,Accepted,30 ms,0 KB
15184773,2016-01-04 22:14:06,131A - cAPS lOCK,GNU C++,Accepted,31 ms,0 KB
15183806,2016-01-04 20:25:27,118A - String Task,GNU C++,Accepted,30 ms,0 KB
15183465,2016-01-04 19:52:22,158A - Next Round,GNU C++,Accepted,30 ms,0 KB
15183168,2016-01-04 19:26:39,71A - Way Too Long Words,GNU C++,Accepted,30 ms,0 KB
15180778,2016-01-04 15:16:43,4A - Watermelon,GNU C++,Accepted,30 ms,0 KB
15180759,2016-01-04 15:13:48,4A - Watermelon,GNU C++,Wrong answer on test 5,0 ms,0 KB
15178686,2016-01-04 11:17:30,1A - Theatre Square,GNU C++,Accepted,30 ms,0 KB
15178662,2016-01-04 11:14:27,1A - Theatre Square,GNU C++,Wrong answer on test 6,30 ms,0 KB
15178648,2016-01-04 11:12:54,1A - Theatre Square,GNU C,Compilation error,0 ms,0 KB
