Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved
626C,Block Towers,Brute force|Greedy algorithms,brute force|greedy,2577
626B,Cards,Constructive algorithms|Dynamic programming,constructive algorithms|dp,3398
626A,Robot Sequence,Brute force|Implementation problems programming technics simulation,brute force|implementation,4110
625E,Frog Fights,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,85
625D,Finals in arithmetic,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,402
625C,K-special Tables,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,3926
625B,War of the Corporations,Constructive algorithms|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,constructive algorithms|strings,4477
625A,Guest From the Past,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,3305
624B,Making a String,Greedy algorithms|Sortings orderings,greedy|sortings,4655
624A,Save Luke,Mathematics including integration differential equations etc,math,5453
623E,Transforming Sequence,Combinatorics|Dynamic programming|Fast Fourier transform,combinatorics|dp|fft,81
623D,Birthday,Greedy algorithms|Probabilities expected values statistics random variables etc,greedy|probabilities,228
623C,Electric Charges,Binary search,binary search,257
623B,Array GCD,Dynamic programming|Greedy algorithms|Number theory: Euler function GCD divisibility etc,dp|greedy|number theory,898
623A,Graph and String,Constructive algorithms|Graphs,constructive algorithms|graphs,2576
622F,The Sum of the k-th Powers,Mathematics including integration differential equations etc,math,197
622E,Ants in Leaves,Dfs and similar|Greedy algorithms|Trees,dfs and similar|greedy|trees,647
622D,Optimal Number Permutation,Constructive algorithms,constructive algorithms,1179
622C,Not Equal on a Segment,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,data structures|implementation,2081
622B,The Time,Implementation problems programming technics simulation,implementation,4046
622A,Infinite Sequence,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,4140
621E,Wet Shark and Blocks,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations,dp|matrices,1085
621D,Rat Kwesh and Cheese,Brute force|Mathematics including integration differential equations etc,brute force|math,697
621C,Wet Shark and Flowers,Probabilities expected values statistics random variables etc,probabilities,2599
621B,Wet Shark and Bishops,Combinatorics,combinatorics,4933
621A,Wet Shark and Odd and Even,Implementation problems programming technics simulation,implementation,7496
620F,Xors on Segments,Heaps binary search trees segment trees hash tables etc,data structures,194
620E,New Year Tree,Bitmasks|Heaps binary search trees segment trees hash tables etc,bitmasks|data structures,842
620D,Professor GukiZ and Two Arrays,Binary search|Two pointers,binary search|two pointers,574
620C,Pearls in a Row,Greedy algorithms,greedy,2635
620B,Grandfather Dovlet’s calculator,Implementation problems programming technics simulation,implementation,4507
620A,Professor GukiZ's Robot,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,5459
618G,Combining Slimes,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations|Probabilities expected values statistics random variables etc,dp|matrices|probabilities,33
618F,Double Knapsack,Constructive algorithms|Two pointers,constructive algorithms|two pointers,219
618E,Robot Arm,Heaps binary search trees segment trees hash tables etc,data structures,326
618D,Hamiltonian Spanning Tree,Dfs and similar|Dynamic programming|Graph matchings König's theorem vertex cover of bipartite graph|Trees,dfs and similar|dp|graph matchings|trees,915
618C,Constellation,Geometry computational geometry|Implementation problems programming technics simulation,geometry|implementation,2453
618B,Guess the Permutation,Constructive algorithms,constructive algorithms,4290
618A,Slime Combining,Implementation problems programming technics simulation,implementation,5309
617E,XOR and Favorite Number,Heaps binary search trees segment trees hash tables etc,data structures,1126
617D,Polyline,Constructive algorithms,constructive algorithms,2678
617C,Watering Flowers,Implementation problems programming technics simulation,implementation,2938
617B,Chocolate,Combinatorics,combinatorics,5567
617A,Elephant,Mathematics including integration differential equations etc,math,10321
616F,Expensive Strings,Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,string suffix structures|strings,137
616E,Sum of Remainders,Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,implementation|math|number theory,548
616D,Longest k-Good Segment,Binary search|Heaps binary search trees segment trees hash tables etc|Two pointers,binary search|data structures|two pointers,1888
616C,The Labyrinth,Dfs and similar,dfs and similar,1859
616B,Dinner with Emma,Games Sprague–Grundy theorem|Greedy algorithms,games|greedy,3856
616A,Comparing Two Long Integers,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,3645
615E,Hexagons,Binary search|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,binary search|implementation|math,640
615D,Multipliers,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,1564
615C,Running Track,Dynamic programming|Greedy algorithms|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc|Trees,dp|greedy|strings|trees,1394
615B,Longtail Hedgehog,Dynamic programming|Graphs,dp|graphs,2697
615A,Bulbs,Implementation problems programming technics simulation,implementation,7055
614B,Gena's Code,Implementation problems programming technics simulation,implementation,3613
614A,Link/Cut Tree,Brute force,brute force,4238
613E,Puzzle Lover,Dynamic programming|Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|hashing|strings,53
613D,Kingdom and its Cities,Dfs and similar|Divide and Conquer|Graphs|Sortings orderings|Trees,dfs and similar|divide and conquer|graphs|sortings|trees,288
613C,Necklace,Constructive algorithms,constructive algorithms,493
613B,Skills,Binary search|Brute force|Two pointers,binary search|brute force|two pointers,1130
613A,Peter and Snow Blower,Binary search|Geometry computational geometry|Ternary search,binary search|geometry|ternary search,1963
612F,Simba on the Circle,Dynamic programming,dp,73
612E,Square Root of Permutation,Combinatorics|Constructive algorithms|Dfs and similar|Graphs,combinatorics|constructive algorithms|dfs and similar|graphs,404
612D,The Union of k-Segments,Sortings orderings,sortings,1278
612C,Replace To Make Regular Bracket Sequence,Heaps binary search trees segment trees hash tables etc|Parsing expression grammar|Mathematics including integration differential equations etc,data structures|expression parsing|math,2459
612B,HDD is Outdated Technology,Implementation problems programming technics simulation,implementation,3081
612A,The Text Splitting,Brute force|Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,brute force|implementation|strings,3087
611H,New Year  and Forgotten Tree,Constructive algorithms|Graph network flows,constructive algorithms|flows,86
611G,New Year and Cake,Geometry computational geometry|Two pointers,geometry|two pointers,110
611F,New Year and Cleaning,Binary search|Implementation problems programming technics simulation,binary search|implementation,273
611E,New Year and Three Musketeers,Heaps binary search trees segment trees hash tables etc|Greedy algorithms,data structures|greedy,577
611D,New Year and Ancient Prophecy,Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,hashing|strings,1555
611C,New Year and Domino,Dynamic programming|Implementation problems programming technics simulation,dp|implementation,4117
611B,New Year and Old Property,Brute force|Implementation problems programming technics simulation,brute force|implementation,4895
611A,New Year and Days,Implementation problems programming technics simulation,implementation,7089
610E,Alphabet Permutations,Heaps binary search trees segment trees hash tables etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|strings,253
610D,Vika and Segments,Heaps binary search trees segment trees hash tables etc|Geometry computational geometry|Two pointers,data structures|geometry|two pointers,602
610C,Harmony Analysis,Constructive algorithms,constructive algorithms,2000
610B,Vika and Squares,Implementation problems programming technics simulation,implementation,3809
610A,Pasha and Stick,Combinatorics|Mathematics including integration differential equations etc,combinatorics|math,6081
609F,Frogs and mosquitoes,Heaps binary search trees segment trees hash tables etc,data structures,221
609E,Minimum spanning tree for each edge,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Disjoint set union|Graphs|Trees,data structures|dfs and similar|dsu|graphs|trees,797
609D,Gadgets for dollars and pounds,Binary search|Two pointers,binary search|two pointers,809
609C,Load Balancing,Implementation problems programming technics simulation,implementation,2480
609B,The Best Gift,Implementation problems programming technics simulation,implementation,3813
609A,USB Flash Drives,Greedy algorithms|Implementation problems programming technics simulation|Sortings orderings,greedy|implementation|sortings,4962
608B,Hamming Distance Sum,Combinatorics,combinatorics,3063
608A,Saitama Destroys Hotel,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,5068
607E,Cross Sum,Binary search|Geometry computational geometry,binary search|geometry,49
607D,Power Tree,Heaps binary search trees segment trees hash tables etc,data structures,246
607C,Marbles,Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,hashing|strings,456
607B,Zuma,Dynamic programming,dp,2092
607A,Chain Reaction,Binary search|Dynamic programming,binary search|dp,3294
606B,Testing Robots,Implementation problems programming technics simulation,implementation,2176
606A,Magic Spheres,Implementation problems programming technics simulation,implementation,5154
605E,Intergalaxy Trips,Probabilities expected values statistics random variables etc|Shortest paths on weighted and unweighted graphs,probabilities|shortest paths,206
605D,Board Game,Heaps binary search trees segment trees hash tables etc|Dfs and similar,data structures|dfs and similar,370
605C,Freelancer's Dreams,Geometry computational geometry,geometry,500
605B,Lazy Student,Constructive algorithms|Heaps binary search trees segment trees hash tables etc|Graphs,constructive algorithms|data structures|graphs,1782
605A,Sorting Railway Cars,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,3851
604B,More Cowbell,Binary search|Greedy algorithms,binary search|greedy,3973
604A,Uncowed Forces,Implementation problems programming technics simulation,implementation,5415
603E,Pastoral Oddities,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Disjoint set union|Trees,data structures|divide and conquer|dsu|trees,107
603D,Ruminations on Ruminants,Geometry computational geometry|Mathematics including integration differential equations etc,geometry|math,166
603C,Lieges of Legendre,Games Sprague–Grundy theorem,games,984
603B,Moodular Arithmetic,Dfs and similar|Disjoint set union|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,dfs and similar|dsu|math|number theory,1490
603A,Alternative Thinking,Dynamic programming|Greedy algorithms,dp|greedy,3509
602B,Approximating a Constant Range,Dynamic programming|Two pointers,dp|two pointers,3722
602A,Two Bases,Implementation problems programming technics simulation,implementation,5265
601E,A Museum Robbery,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,203
601D,Acyclic Organic Compounds,Heaps binary search trees segment trees hash tables etc|Dfs and similar|Disjoint set union|Hashing hashtables|Trees,data structures|dfs and similar|dsu|hashing|trees,467
601C,Kleofáš and the n-thlon,Dynamic programming|Probabilities expected values statistics random variables etc,dp|probabilities,668
601B,Lipshitz Sequence,Heaps binary search trees segment trees hash tables etc,data structures,1160
601A,The Two Routes,Graphs|Shortest paths on weighted and unweighted graphs,graphs|shortest paths,3663
600F,Edge coloring of bipartite graph,Graphs,graphs,93
600E,Lomsat gelral,Dfs and similar|Disjoint set union|Trees,dfs and similar|dsu|trees,631
600D,Area of Two Circles' Intersection,Geometry computational geometry,geometry,565
600C,Make Palindrome,Greedy algorithms,greedy,1657
600B,Queries about less or equal elements,Binary search|Sortings orderings|Two pointers,binary search|sortings|two pointers,3321
600A,Extract Numbers,Implementation problems programming technics simulation,implementation,2004
599E,Sandy and Nuts,Bitmasks|Dynamic programming,bitmasks|dp,223
599D,Spongebob and Squares,Brute force|Mathematics including integration differential equations etc,brute force|math,1700
599C,Day at the Beach,Sortings orderings,sortings,2876
599B,Spongebob and Joke,Implementation problems programming technics simulation,implementation,3140
599A,Patrick and Shopping,Implementation problems programming technics simulation,implementation,7837
598F,Cut Length,Geometry computational geometry,geometry,78
598E,Chocolate Bar,Brute force|Dynamic programming,brute force|dp,1107
598D,Igor In the Museum,Dfs and similar,dfs and similar,2246
598C,Nearest vectors,Geometry computational geometry|Sortings orderings,geometry|sortings,980
598B,Queries on a String,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,3567
598A,Tricky Sum,Mathematics including integration differential equations etc,math,6211
597C,Subsequences,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,734
597B,Restaurant,Dynamic programming|Greedy algorithms|Sortings orderings,dp|greedy|sortings,1417
597A,Divisibility,Mathematics including integration differential equations etc,math,1999
596E,Wilbur and Strings,Dfs and similar|Dynamic programming|Graphs,dfs and similar|dp|graphs,188
596D,Wilbur and Trees,Dynamic programming|Probabilities expected values statistics random variables etc|Sortings orderings,dp|probabilities|sortings,422
596C,Wilbur and Points,Greedy algorithms|Sortings orderings,greedy|sortings,1717
596B,Wilbur and Array,Greedy algorithms,greedy,5134
596A,Wilbur and Swimming Pool,Implementation problems programming technics simulation,implementation,4709
595B,Pasha and Phone,Binary search|Mathematics including integration differential equations etc,binary search|math,2264
595A,Vitaly and Night,Implementation problems programming technics simulation,implementation,6225
594E,Cutting the Line,Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,string suffix structures|strings,25
594D,REQ,Heaps binary search trees segment trees hash tables etc|Number theory: Euler function GCD divisibility etc,data structures|number theory,347
594C,Edo and Magnets,Brute force|Two pointers,brute force|two pointers,427
594B,Max and Bike,Binary search|Geometry computational geometry,binary search|geometry,320
594A,Warrior and Archer,Games Sprague–Grundy theorem,games,876
593E,Strange Calculation and Cats,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations,dp|matrices,203
593D,Happy Tree Party,Heaps binary search trees segment trees hash tables etc|Trees,data structures|trees,546
593C,Beautiful Function,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,135
593B,Anton and Lines,Geometry computational geometry|Sortings orderings,geometry|sortings,2674
593A,2Char,Brute force,brute force,4035
592E,BCPC,Binary search|Geometry computational geometry|Two pointers,binary search|geometry|two pointers,114
592D,Super M,Dfs and similar|Dynamic programming|Trees,dfs and similar|dp|trees,1047
592C,The Big Race,Mathematics including integration differential equations etc,math,2144
592B,The Monster and the Squirrel,Mathematics including integration differential equations etc,math,5322
592A,PawnChess,Implementation problems programming technics simulation,implementation,4626
591B,Rebranding,Implementation problems programming technics simulation,implementation,4896
591A,Wizards' Duel,Mathematics including integration differential equations etc,math,6645
590E,Birthday,Graph matchings König's theorem vertex cover of bipartite graph|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,graph matchings|strings,115
590D,Top Secret Task,Dynamic programming,dp,540
590C,Three States,Dfs and similar|Graphs|Shortest paths on weighted and unweighted graphs,dfs and similar|graphs|shortest paths,1062
590B,Chip 'n Dale Rescue Rangers,Binary search|Geometry computational geometry|Mathematics including integration differential equations etc,binary search|geometry|math,1131
590A,Median Smoothing,,,2702
589M,Taxi in Berland,Shortest paths on weighted and unweighted graphs,shortest paths,67
589L,Agricultural Archaeology,Greedy algorithms|Mathematics including integration differential equations etc,greedy|math,28
589K,Task processing,Brute force|Mathematics including integration differential equations etc,brute force|math,154
589J,Cleaner Robot,Dfs and similar|Implementation problems programming technics simulation,dfs and similar|implementation,2595
589I,Lottery,Implementation problems programming technics simulation,implementation,3852
589H,Tourist Guide,Dfs and similar,dfs and similar,471
589G,Hiring,Binary search|Heaps binary search trees segment trees hash tables etc,binary search|data structures,964
589F,Gourmet and Banquet,Binary search|Graph network flows|Greedy algorithms,binary search|flows|greedy,1258
589E,Training with Doors,,,33
589D,Boulevard,Brute force|Implementation problems programming technics simulation,brute force|implementation,1464
589C,Polycarp's Masterpiece,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Dynamic programming,data structures|divide and conquer|dp,177
589B,Layer Cake,Sortings orderings,sortings,1639
589A,Email Aliases,Implementation problems programming technics simulation,implementation,2275
588B,Duff in Love,Mathematics including integration differential equations etc,math,5203
588A,Duff and Meat,Greedy algorithms,greedy,8169
587F,Duff is Mad,Heaps binary search trees segment trees hash tables etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|strings,84
587E,Duff as a Queen,Heaps binary search trees segment trees hash tables etc,data structures,138
587D,Duff in Mafia,2-satisfiability|Binary search,2-sat|binary search,78
587C,Duff in the Army,Heaps binary search trees segment trees hash tables etc|Trees,data structures|trees,1052
587B,Duff in Beach,Dynamic programming,dp,880
587A,Duff and Weight Lifting,Greedy algorithms,greedy,4392
586B,Laurenty and Shop,Implementation problems programming technics simulation,implementation,4085
586A,Alena's Schedule,Implementation problems programming technics simulation,implementation,5887
585F,Digits of Number Pi,Dynamic programming|Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,dp|implementation|strings,66
585E,Present for Vitalik the Philatelist,Combinatorics|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,combinatorics|math|number theory,203
585D,Lizard Era: Beginning,Meet-in-the-middle,meet-in-the-middle,611
585C,Alice Bob Oranges and Apples,Number theory: Euler function GCD divisibility etc,number theory,596
585B,Phillip and Trains,Dfs and similar,dfs and similar,2087
585A,Gennady the Dentist,Brute force|Implementation problems programming technics simulation,brute force|implementation,2826
584E,Anton and Ira,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,782
584D,Dima and Lisa,Number theory: Euler function GCD divisibility etc,number theory,3209
584C,Marina and Vasya,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,3187
584B,Kolya and Tanya,Combinatorics,combinatorics,4765
584A,Olesya and Rodion,Mathematics including integration differential equations etc,math,9070
583B,Robot's Task,Implementation problems programming technics simulation,implementation,5851
583A,Asphalting Roads,Implementation problems programming technics simulation,implementation,7511
582E,Boolean Function,Bitmasks|Dynamic programming|Parsing expression grammar,bitmasks|dp|expression parsing,88
582D,Number of Binominal Coefficients,Dynamic programming|Number theory: Euler function GCD divisibility etc,dp|number theory,69
582C,Superior Periodic Subarrays,Number theory: Euler function GCD divisibility etc,number theory,433
582B,Once Again...,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations,dp|matrices,1839
582A,GCD Table,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,3642
581F,Zublicanes and Mumocrates,Dynamic programming|Trees|Two pointers,dp|trees|two pointers,314
581E,Kojiro and Furrari,Dynamic programming|Greedy algorithms,dp|greedy,88
581D,Three Logos,Bitmasks|Brute force|Constructive algorithms|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,bitmasks|brute force|constructive algorithms|implementation|math,2089
581C,Developing Skills,Implementation problems programming technics simulation|Sortings orderings,implementation|sortings,4394
581B,Luxurious Houses,Implementation problems programming technics simulation,implementation,5956
581A,Vasya the Hipster,Implementation problems programming technics simulation,implementation,8974
580E,Kefa and Watch,Heaps binary search trees segment trees hash tables etc|Hashing hashtables|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|hashing|strings,687
580D,Kefa and Dishes,Bitmasks|Dynamic programming,bitmasks|dp,2568
580C,Kefa and Park,Dfs and similar|Trees,dfs and similar|trees,5391
580B,Kefa and Company,Binary search|Sortings orderings|Two pointers,binary search|sortings|two pointers,5593
580A,Kefa and First Steps,Brute force|Dynamic programming|Implementation problems programming technics simulation,brute force|dp|implementation,11981
579B,Finding Team Member,Brute force|Implementation problems programming technics simulation|Sortings orderings,brute force|implementation|sortings,3757
579A,Raising Bacteria,Bitmasks,bitmasks,8029
578F,Mirror Box,Matrix multiplication determinant Cramer's rule systems of linear equations|Trees,matrices|trees,32
578E,Walking!,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,139
578D,LCS Again,Dynamic programming|Greedy algorithms,dp|greedy,256
578C,Weakness and Poorness,Ternary search,ternary search,1618
578B,Or Game,Brute force|Greedy algorithms,brute force|greedy,2879
578A,A Problem about Polyline,Geometry computational geometry|Mathematics including integration differential equations etc,geometry|math,3227
577B,Modulo Sum,Combinatorics|Heaps binary search trees segment trees hash tables etc|Dynamic programming|Two pointers,combinatorics|data structures|dp|two pointers,2888
577A,Multiplication Table,Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,implementation|number theory,8139
576E,Painting Edges,Binary search|Heaps binary search trees segment trees hash tables etc,binary search|data structures,90
576D,Flights for Regular Customers,Dynamic programming|Matrix multiplication determinant Cramer's rule systems of linear equations,dp|matrices,248
576C,Points on Plane,Constructive algorithms|Divide and Conquer|Geometry computational geometry|Greedy algorithms|Sortings orderings,constructive algorithms|divide and conquer|geometry|greedy|sortings,1277
576B,Invariance of Tree,Constructive algorithms|Dfs and similar|Greedy algorithms|Trees,constructive algorithms|dfs and similar|greedy|trees,1034
576A,Vasya and Petya's Game,Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,math|number theory,4962
575I,Robots protection,Heaps binary search trees segment trees hash tables etc,data structures,62
575H,Bots,Combinatorics|Number theory: Euler function GCD divisibility etc,combinatorics|number theory,1047
575G,Run for beer,Dfs and similar|Shortest paths on weighted and unweighted graphs,dfs and similar|shortest paths,399
575F,Bulbo,Dynamic programming|Greedy algorithms,dp|greedy,680
575E,Spectator Riots,Geometry computational geometry,geometry,42
575D,Tablecity,Constructive algorithms,constructive algorithms,1417
575C,Party,Bitmasks|Brute force|Graph matchings König's theorem vertex cover of bipartite graph,bitmasks|brute force|graph matchings,110
575B,Bribes,Dfs and similar|Trees,dfs and similar|trees,550
575A,Fibonotci,Mathematics including integration differential equations etc|Matrix multiplication determinant Cramer's rule systems of linear equations,math|matrices,152
574B,Bear and Three Musketeers,Brute force|Dfs and similar|Graphs|Hashing hashtables,brute force|dfs and similar|graphs|hashing,3380
574A,Bear and Elections,Implementation problems programming technics simulation,implementation,5343
573E,Bear and Bowling,Greedy algorithms,greedy,65
573D,Bear and Cavalry,Heaps binary search trees segment trees hash tables etc|Divide and Conquer|Dynamic programming,data structures|divide and conquer|dp,92
573C,Bear and Drawing,Constructive algorithms|Dfs and similar|Trees,constructive algorithms|dfs and similar|trees,606
573B,Bear and Blocks,Binary search|Heaps binary search trees segment trees hash tables etc|Dynamic programming,binary search|data structures|dp,2973
573A,Bear and Poker,Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,implementation|number theory,6288
572B,Order Book,Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Implementation problems programming technics simulation|Sortings orderings,data structures|greedy|implementation|sortings,3427
572A,Arrays,Sortings orderings,sortings,6686
571E,Geometric Progressions,Mathematics including integration differential equations etc,math,30
571D,Campus,Binary search|Heaps binary search trees segment trees hash tables etc|Disjoint set union|Trees,binary search|data structures|dsu|trees,91
571C,CNF 2,Constructive algorithms|Dfs and similar|Graphs|Greedy algorithms,constructive algorithms|dfs and similar|graphs|greedy,339
571B,Minimization,Dynamic programming|Greedy algorithms|Sortings orderings,dp|greedy|sortings,1275
571A,Lengthening Sticks,Combinatorics|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,combinatorics|implementation|math,1224
570E,Pig and Palindromes,Combinatorics|Dynamic programming,combinatorics|dp,808
570D,Tree Requests,Binary search|Constructive algorithms|Dfs and similar|Trees,binary search|constructive algorithms|dfs and similar|trees,1201
570C,Replacement,Constructive algorithms|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation,constructive algorithms|data structures|implementation,4605
570B,Simple Game,Constructive algorithms|Greedy algorithms|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,constructive algorithms|greedy|implementation|math,6371
570A,Elections,Implementation problems programming technics simulation,implementation,7753
569B,Inventory,Greedy algorithms,greedy,4279
569A,Music,Implementation problems programming technics simulation|Mathematics including integration differential equations etc,implementation|math,3272
568E,Longest Increasing Subsequence,Heaps binary search trees segment trees hash tables etc|Dynamic programming,data structures|dp,60
568D,Sign Posts,Brute force|Mathematics including integration differential equations etc,brute force|math,149
568C,New Language,2-satisfiability|Greedy algorithms,2-sat|greedy,279
568B,Symmetric and Transitive,Combinatorics|Dynamic programming|Mathematics including integration differential equations etc,combinatorics|dp|math,1361
568A,Primes or Palindromes?,Brute force|Implementation problems programming technics simulation|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,brute force|implementation|math|number theory,2919
567F,Mausoleum,Dynamic programming,dp,261
567E,President and Roads,Dfs and similar|Graphs|Hashing hashtables|Shortest paths on weighted and unweighted graphs,dfs and similar|graphs|hashing|shortest paths,682
567D,One-Dimensional Battle Ships,Binary search|Heaps binary search trees segment trees hash tables etc|Sortings orderings,binary search|data structures|sortings,2243
567C,Geometric Progression,Binary search|Heaps binary search trees segment trees hash tables etc|Dynamic programming,binary search|data structures|dp,3536
567B,Berland National Library,Implementation problems programming technics simulation,implementation,5319
567A,Lineland Mail,Implementation problems programming technics simulation,implementation,7894
566G,Max and Min,Geometry computational geometry,geometry,184
566F,Clique in the Divisibility Graph,Dynamic programming|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,dp|math|number theory,1394
566E,Restoring Map,Bitmasks|Constructive algorithms|Trees,bitmasks|constructive algorithms|trees,39
566D,Restructuring Company,Heaps binary search trees segment trees hash tables etc|Disjoint set union,data structures|dsu,901
566C,Logistical Questions,Dfs and similar|Divide and Conquer|Trees,dfs and similar|divide and conquer|trees,67
566B,Replicating Processes,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,162
566A,Matching Names,Dfs and similar|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc|Trees,dfs and similar|strings|trees,396
560B,Gerald is into Art,Constructive algorithms|Implementation problems programming technics simulation,constructive algorithms|implementation,4865
560A,Currency System in Geraldion,Geometry computational geometry|Implementation problems programming technics simulation|Sortings orderings,geometry|implementation|sortings,7298
559E,Gerald and Path,Dynamic programming|Sortings orderings,dp|sortings,131
559D,Randomizer,Combinatorics|Geometry computational geometry|Probabilities expected values statistics random variables etc,combinatorics|geometry|probabilities,173
559C,Gerald and Giant Chess,Combinatorics|Dynamic programming|Mathematics including integration differential equations etc|Number theory: Euler function GCD divisibility etc,combinatorics|dp|math|number theory,1634
559B,Equivalent Strings,Divide and Conquer|Hashing hashtables|Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,divide and conquer|hashing|sortings|strings,3824
559A,Gerald's Hexagon,Brute force|Geometry computational geometry|Mathematics including integration differential equations etc,brute force|geometry|math,5131
558E,A Simple Task,Heaps binary search trees segment trees hash tables etc|Sortings orderings|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|sortings|strings,1056
558D,Guess Your Way Out! II,Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation|Sortings orderings,data structures|implementation|sortings,749
558C,Amr and Chemistry,Brute force|Greedy algorithms,brute force|greedy,2294
558B,Amr and The Large Array,Implementation problems programming technics simulation,implementation,4573
558A,Lala Land and Apple Trees,Brute force|Implementation problems programming technics simulation|Sortings orderings,brute force|implementation|sortings,5631
557E,Ann and Half-Palindrome,Heaps binary search trees segment trees hash tables etc|Dynamic programming|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc|Trees,data structures|dp|string suffix structures|strings|trees,586
557D,Vitaly and Cycle,Combinatorics|Dfs and similar|Graphs|Mathematics including integration differential equations etc,combinatorics|dfs and similar|graphs|math,1207
557C,Arthur and Table,Brute force|Heaps binary search trees segment trees hash tables etc|Dynamic programming|Greedy algorithms,brute force|data structures|dp|greedy,2282
557B,Pasha and Tea,Implementation problems programming technics simulation|Sortings orderings,implementation|sortings,4363
557A,Ilya and Diplomas,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,5768
556B,Case of Fake Numbers,Brute force|Implementation problems programming technics simulation,brute force|implementation,5169
556A,Case of the Zeros and Ones,Greedy algorithms,greedy,8054
555E,Case of Computer Network,Dfs and similar|Graphs|Trees,dfs and similar|graphs|trees,384
555D,Case of a Top Secret,Binary search|Implementation problems programming technics simulation|Mathematics including integration differential equations etc,binary search|implementation|math,529
555C,Case of Chocolate,Heaps binary search trees segment trees hash tables etc,data structures,1122
