ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:14913
20880576,2016-09-24 07:17:32,58A - Chat room,GNU C++11,Accepted,30 ms,0 KB
20835086,2016-09-23 13:47:58,270A - Fancy Fence,Python 2,Accepted,92 ms,0 KB
20834760,2016-09-23 13:24:15,219A - k-String,Python 2,Accepted,124 ms,0 KB
20779994,2016-09-20 18:57:05,463B - Caisa and Pylons,Python 2,Wrong answer on test 3,46 ms,0 KB
20779776,2016-09-20 18:47:12,463B - Caisa and Pylons,PyPy 2,Wrong answer on test 3,61 ms,0 KB
20779616,2016-09-20 18:39:21,463B - Caisa and Pylons,PyPy 2,Wrong answer on test 3,62 ms,0 KB
20776259,2016-09-20 16:02:05,96A - Football,PyPy 2,Accepted,186 ms,0 KB
20775983,2016-09-20 15:51:36,141A - Amusing Joke,GNU C++11,Accepted,30 ms,0 KB
20775945,2016-09-20 15:50:00,141A - Amusing Joke,GNU C++,Wrong answer on test 14,30 ms,0 KB
20775899,2016-09-20 15:48:05,141A - Amusing Joke,GNU C++14,Wrong answer on test 3,30 ms,0 KB
20775852,2016-09-20 15:46:32,141A - Amusing Joke,GNU C++11,Wrong answer on test 13,30 ms,0 KB
20774877,2016-09-20 15:05:55,61A - Ultra-Fast Mathematician,Python 2,Accepted,77 ms,0 KB
20774544,2016-09-20 14:50:42,116A - Tram,Python 2,Accepted,124 ms,0 KB
20774332,2016-09-20 14:41:10,112A - Petya and Strings,Python 2,Accepted,154 ms,0 KB
20706375,2016-09-17 18:18:03,716B - Complete the Word,Python 2,Accepted,919 ms,300 KB
20705370,2016-09-17 18:12:14,716B - Complete the Word,Python 2,Wrong answer on pretest 6,62 ms,100 KB
20700763,2016-09-17 17:48:49,716B - Complete the Word,Python 2,Wrong answer on pretest 6,46 ms,100 KB
20697514,2016-09-17 17:33:56,716C - Plus and Square Root,Python 2,Accepted,202 ms,0 KB
20690053,2016-09-17 17:05:23,716A - Crazy Computer,Python 2,Accepted,155 ms,5700 KB
20636705,2016-09-15 12:44:56,71A - Way Too Long Words,Python 2,Accepted,122 ms,0 KB
20636200,2016-09-15 12:17:45,200B - Drinks,GNU C++11,Accepted,30 ms,100 KB
20635862,2016-09-15 12:00:20,141A - Amusing Joke,GNU C++11,Wrong answer on test 14,30 ms,100 KB
20635746,2016-09-15 11:55:09,141A - Amusing Joke,GNU C++11,Wrong answer on test 17,30 ms,100 KB
20630871,2016-09-15 06:35:58,110A - Nearly Lucky Number,GNU C++11,Accepted,62 ms,100 KB
20630859,2016-09-15 06:34:44,110A - Nearly Lucky Number,GNU C++11,Wrong answer on test 1,0 ms,100 KB
20630832,2016-09-15 06:30:58,110A - Nearly Lucky Number,GNU C++11,Wrong answer on test 7,30 ms,100 KB
20630763,2016-09-15 06:22:51,110A - Nearly Lucky Number,GNU C++11,Wrong answer on test 4,0 ms,100 KB
20626509,2016-09-14 22:42:38,110A - Nearly Lucky Number,GNU C++11,Wrong answer on test 4,30 ms,100 KB
20626411,2016-09-14 22:36:16,432A - Choosing Teams,GNU C++11,Accepted,31 ms,100 KB
20626341,2016-09-14 22:32:01,432A - Choosing Teams,GNU C++11,Wrong answer on test 4,15 ms,100 KB
20551454,2016-09-12 18:08:44,712C - Memory and De-Evolution,Python 2,Accepted,62 ms,0 KB
20550496,2016-09-12 17:04:26,712B - Memory and Trident,Python 2,Accepted,77 ms,200 KB
20543291,2016-09-12 08:35:08,712A - Memory and Crow,Python 2,Accepted,233 ms,9000 KB
20543255,2016-09-12 08:29:48,712A - Memory and Crow,Python 2,Wrong answer on test 3,46 ms,0 KB
20001778,2016-08-20 17:44:20,707C - Pythagorean Triples,Python 2,Accepted,62 ms,4500 KB
20001628,2016-08-20 17:43:08,707C - Pythagorean Triples,Python 2,Wrong answer on pretest 3,46 ms,4500 KB
19999453,2016-08-20 17:27:52,707B - Bakery,Python 2,Runtime error on pretest 4,46 ms,4500 KB
19999132,2016-08-20 17:25:45,707B - Bakery,Python 2,Runtime error on pretest 1,46 ms,4500 KB
19997554,2016-08-20 17:14:40,707B - Bakery,Python 2,Runtime error on pretest 4,46 ms,4500 KB
19996401,2016-08-20 17:07:11,707B - Bakery,Python 2,Wrong answer on pretest 3,46 ms,4500 KB
19995032,2016-08-20 16:58:17,707B - Bakery,Python 2,Wrong answer on pretest 3,46 ms,4500 KB
19993877,2016-08-20 16:51:25,707B - Bakery,Python 2,Wrong answer on pretest 3,46 ms,4500 KB
19983986,2016-08-20 16:11:06,707A - Brain's Photos,Python 2,Accepted,62 ms,4500 KB
19799835,2016-08-11 20:24:40,706B - Interesting drink,Python 2,Wrong answer on test 16,1684 ms,9600 KB
19791122,2016-08-11 19:46:19,706A - Beru-taxi,Python 2,Accepted,46 ms,4500 KB
19750045,2016-08-09 18:34:15,490B - Queue,Python 2,Accepted,919 ms,33600 KB
19749714,2016-08-09 18:10:40,490B - Queue,Python 2,Runtime error on test 2,31 ms,4500 KB
19746565,2016-08-09 14:56:54,535B - Tavas and SaDDas,Python 2,Accepted,61 ms,4500 KB
19746248,2016-08-09 14:35:42,190B - Surrounded,Python 2,Accepted,46 ms,4500 KB
19746119,2016-08-09 14:28:42,190B - Surrounded,Python 2,Wrong answer on test 10,46 ms,4500 KB
19745966,2016-08-09 14:18:15,190B - Surrounded,Python 2,Wrong answer on test 7,61 ms,4500 KB
19744746,2016-08-09 12:47:22,190B - Surrounded,Python 2,Wrong answer on test 9,46 ms,4500 KB
19744731,2016-08-09 12:46:43,190B - Surrounded,Python 2,Wrong answer on test 1,31 ms,4400 KB
19744724,2016-08-09 12:45:49,535B - Tavas and SaDDas,Python 2,Runtime error on test 1,30 ms,4500 KB
19742047,2016-08-09 09:55:14,190B - Surrounded,Python 2,Wrong answer on test 7,62 ms,4500 KB
19740840,2016-08-09 08:26:44,399B - Red and Blue Balls,Python 2,Accepted,62 ms,4500 KB
19740829,2016-08-09 08:25:45,399B - Red and Blue Balls,Python 2,Wrong answer on test 1,31 ms,4500 KB
19625777,2016-08-04 19:03:24,703B - Mishka and trip,Python 2,Wrong answer on pretest 4,46 ms,4500 KB
19618750,2016-08-04 18:19:00,703A - Mishka and Game,Python 2,Accepted,61 ms,4500 KB
19617453,2016-08-04 17:53:07,70A - Cookies,Python 2,Accepted,62 ms,0 KB
19617435,2016-08-04 17:51:48,70A - Cookies,Python 2,Wrong answer on test 7,46 ms,0 KB
19617384,2016-08-04 17:49:14,70A - Cookies,Python 2,Wrong answer on test 7,46 ms,0 KB
19617369,2016-08-04 17:48:22,70A - Cookies,Python 2,Runtime error on test 1,31 ms,0 KB
19617091,2016-08-04 17:30:48,70A - Cookies,Python 2,Wrong answer on test 4,46 ms,0 KB
19617083,2016-08-04 17:30:06,70A - Cookies,Python 2,Wrong answer on test 4,46 ms,0 KB
19616902,2016-08-04 17:19:25,267A - Subtractions,Python 2,Accepted,62 ms,0 KB
19571790,2016-08-02 07:04:31,702A - Maximum Increase,Python 2,Accepted,109 ms,5400 KB
19362960,2016-07-23 13:42:57,669D - Little Artem and Dance,Python 2,Time limit exceeded on test 11,2000 ms,19900 KB
19240972,2016-07-19 16:44:09,699A - Launch of Collider,Python 2,Accepted,249 ms,13200 KB
17764190,2016-05-06 18:22:18,669A - Little Artem and Presents,GNU C++,Wrong answer on test 7,15 ms,2000 KB
17764035,2016-05-06 18:12:28,669A - Little Artem and Presents,GNU C++,Wrong answer on test 5,15 ms,2000 KB
17764008,2016-05-06 18:10:56,669A - Little Artem and Presents,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
