ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:13870
20852268,2016-09-23 16:51:36,719B - Anatoly and Cockroaches,GNU C++14,Accepted,15 ms,300 KB
20851690,2016-09-23 16:49:15,719B - Anatoly and Cockroaches,GNU C++14,Time limit exceeded on pretest 6,1000 ms,3000 KB
20838578,2016-09-23 16:11:11,719A - Vitya in the Countryside,GNU C++14,Hacked,15 ms,0 KB
20710103,2016-09-17 18:37:59,716B - Complete the Word,GNU C++14,Accepted,31 ms,300 KB
20706498,2016-09-17 18:18:34,716B - Complete the Word,GNU C++14,Wrong answer on pretest 6,15 ms,100 KB
20704708,2016-09-17 18:08:20,716B - Complete the Word,GNU C++14,Wrong answer on pretest 6,15 ms,100 KB
20684664,2016-09-17 16:50:12,716A - Crazy Computer,GNU C++14,Accepted,46 ms,0 KB
20589705,2016-09-13 20:47:32,714C - Sonya and Queries,GNU C++14,Accepted,373 ms,39100 KB
20586441,2016-09-13 20:28:50,714C - Sonya and Queries,GNU C++14,Wrong answer on pretest 1,0 ms,39100 KB
20584480,2016-09-13 20:19:20,714C - Sonya and Queries,GNU C++14,Wrong answer on pretest 3,15 ms,3900 KB
20580947,2016-09-13 20:05:32,714B - Filya and Homework,GNU C++,Wrong answer on test 19,280 ms,3100 KB
20579151,2016-09-13 19:59:21,714B - Filya and Homework,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
20575283,2016-09-13 19:48:43,714A - Meeting of Old Friends,GNU C++,Accepted,15 ms,0 KB
20529101,2016-09-11 14:13:19,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 3,30 ms,5500 KB
20528620,2016-09-11 13:56:41,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 3,30 ms,5500 KB
20528494,2016-09-11 13:52:44,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,15 ms,5500 KB
20528320,2016-09-11 13:46:56,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 1,15 ms,5500 KB
20527954,2016-09-11 13:34:42,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,0 ms,5500 KB
20527708,2016-09-11 13:27:51,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,15 ms,5500 KB
20527624,2016-09-11 13:25:04,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,0 ms,5500 KB
20527304,2016-09-11 13:15:19,717E - Paint it really, really dark gray,GNU C++,Wrong answer on test 2,15 ms,5500 KB
20524639,2016-09-11 12:13:19,717C - Potions Homework,GNU C++,Accepted,46 ms,1600 KB
20524526,2016-09-11 12:11:43,717C - Potions Homework,GNU C++,Wrong answer on test 10,46 ms,800 KB
20510855,2016-09-10 21:07:15,712B - Memory and Trident,GNU C++,Accepted,46 ms,300 KB
20510547,2016-09-10 21:03:33,712B - Memory and Trident,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
20510240,2016-09-10 21:00:28,712B - Memory and Trident,GNU C++,Wrong answer on pretest 6,46 ms,0 KB
20509258,2016-09-10 20:50:10,712B - Memory and Trident,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
20508277,2016-09-10 20:41:46,712B - Memory and Trident,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
20506807,2016-09-10 20:32:26,712B - Memory and Trident,GNU C++,Wrong answer on pretest 4,0 ms,0 KB
20502834,2016-09-10 20:10:25,712A - Memory and Crow,GNU C++,Accepted,327 ms,7800 KB
20424663,2016-09-06 22:58:40,676C - Vasya and String,GNU C++,Wrong answer on test 9,31 ms,0 KB
20424631,2016-09-06 22:55:25,676C - Vasya and String,GNU C++,Wrong answer on test 9,15 ms,0 KB
20255105,2016-08-29 17:04:15,711C - Coloring Trees,GNU C++,Time limit exceeded on pretest 11,2000 ms,0 KB
20247966,2016-08-29 16:20:57,711B - Chris and Magic Square,GNU C++,Wrong answer on test 93,701 ms,2000 KB
20241811,2016-08-29 15:51:37,711B - Chris and Magic Square,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
20240250,2016-08-29 15:45:09,711B - Chris and Magic Square,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
20233463,2016-08-29 15:21:17,711A - Bus to Udayland,GNU C++,Accepted,15 ms,100 KB
20226992,2016-08-29 12:58:22,682B - Alyona and Mex,GNU C++,Accepted,234 ms,3900 KB
20059187,2016-08-22 18:15:29,710B - Optimal Point on a Line,GNU C++,Wrong answer on test 2,15 ms,3200 KB
