ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1674
10554334,2015-04-02 22:02:42,436A - Feed with Candy,GNU C++11,Wrong answer on test 8,15 ms,100 KB
10554220,2015-04-02 21:50:51,436A - Feed with Candy,GNU C++11,Wrong answer on test 8,15 ms,0 KB
10554200,2015-04-02 21:48:12,436A - Feed with Candy,GNU C++11,Wrong answer on test 8,15 ms,0 KB
10553799,2015-04-02 20:59:54,436A - Feed with Candy,GNU C++11,Wrong answer on test 8,15 ms,0 KB
10553538,2015-04-02 20:27:51,436A - Feed with Candy,GNU C++11,Wrong answer on test 8,15 ms,0 KB
10553434,2015-04-02 20:17:16,436A - Feed with Candy,GNU C++11,Wrong answer on test 37,30 ms,0 KB
10553420,2015-04-02 20:16:11,436A - Feed with Candy,GNU C++11,Wrong answer on test 7,15 ms,0 KB
10553208,2015-04-02 19:57:42,436A - Feed with Candy,GNU C++11,Wrong answer on test 7,15 ms,0 KB
10387099,2015-03-21 21:33:53,529E - The Art of Dealing with ATM,GNU C++11,Accepted,124 ms,9800 KB
10387044,2015-03-21 21:31:12,529D - Social Network,GNU C++11,Accepted,15 ms,300 KB
10386457,2015-03-21 21:04:00,529B - Group Photo 2 (online mirror version),GNU C++11,Wrong answer on test 18,30 ms,0 KB
10386277,2015-03-21 20:54:11,529B - Group Photo 2 (online mirror version),GNU C++11,Wrong answer on pretest 11,15 ms,0 KB
10386217,2015-03-21 20:50:40,529B - Group Photo 2 (online mirror version),GNU C++11,Wrong answer on pretest 1,15 ms,0 KB
10386149,2015-03-21 20:47:01,529B - Group Photo 2 (online mirror version),GNU C++11,Wrong answer on pretest 11,15 ms,0 KB
10385514,2015-03-21 20:22:00,529E - The Art of Dealing with ATM,GNU C++11,Hacked,31 ms,9800 KB
9654135,2015-01-31 17:35:29,509D - Restoring Numbers,GNU C++0x,Wrong answer on test 14,15 ms,0 KB
9654062,2015-01-31 17:34:13,509D - Restoring Numbers,GNU C++0x,Wrong answer on test 1,0 ms,0 KB
9652075,2015-01-31 17:02:43,509E - Pretty Song,GNU C++0x,Accepted,31 ms,12500 KB
9646701,2015-01-31 15:50:36,509C - Sums of Digits,GNU C++0x,Accepted,15 ms,0 KB
9646538,2015-01-31 15:48:49,509C - Sums of Digits,GNU C++0x,Runtime error on test 21,30 ms,0 KB
9646075,2015-01-31 15:43:42,509C - Sums of Digits,GNU C++0x,Runtime error on test 14,31 ms,0 KB
9645736,2015-01-31 15:40:17,509C - Sums of Digits,GNU C++0x,Wrong answer on test 7,15 ms,0 KB
9645616,2015-01-31 15:39:03,509C - Sums of Digits,GNU C++0x,Wrong answer on test 4,0 ms,0 KB
9643181,2015-01-31 15:16:19,509B - Painting Pebbles,GNU C++0x,Accepted,15 ms,0 KB
9640498,2015-01-31 15:02:33,509A - Maximum in Table,GNU C++0x,Accepted,15 ms,0 KB
9528065,2015-01-23 20:53:58,507D - The Maths Lecture,GNU C++0x,Accepted,46 ms,800 KB
9523758,2015-01-23 20:00:43,507C - Guess Your Way Out!,GNU C++0x,Accepted,31 ms,0 KB
9521308,2015-01-23 19:40:00,507B - Amr and Pins,GNU C++0x,Accepted,31 ms,0 KB
9520029,2015-01-23 19:30:49,507B - Amr and Pins,GNU C++0x,Wrong answer on pretest 8,15 ms,0 KB
9515520,2015-01-23 19:06:29,507A - Amr and Music,GNU C++0x,Accepted,31 ms,0 KB
9462463,2015-01-18 17:24:29,506B - Mr. Kitayuta's Technology,GNU C++0x,Wrong answer on pretest 8,15 ms,3400 KB
9460077,2015-01-18 16:51:14,506A - Mr. Kitayuta, the Treasure Hunter,GNU C++0x,Accepted,920 ms,120000 KB
9459766,2015-01-18 16:47:25,506A - Mr. Kitayuta, the Treasure Hunter,GNU C++0x,Time limit exceeded on pretest 1,1000 ms,152000 KB
9413175,2015-01-12 13:19:58,504A - Misha and Forest,GNU C++0x,Accepted,62 ms,1300 KB
9412549,2015-01-12 13:05:39,504B - Misha and Permutations Summation,GNU C++0x,Accepted,592 ms,11300 KB
9313440,2014-12-30 18:33:22,500C - New Year Book Reading,GNU C++0x,Accepted,15 ms,0 KB
9311654,2014-12-30 18:23:14,500B - New Year Permutation,GNU C++0x,Accepted,31 ms,100 KB
9307504,2014-12-30 18:07:34,500A - New Year Transportation,GNU C++0x,Accepted,15 ms,0 KB
9293855,2014-12-28 22:16:30,467C - George and Job,GNU C++0x,Accepted,77 ms,195900 KB
9293850,2014-12-28 22:15:15,467C - George and Job,GNU C++0x,Wrong answer on test 15,15 ms,97900 KB
9293843,2014-12-28 22:12:43,467C - George and Job,GNU C++0x,Wrong answer on test 3,15 ms,97900 KB
9293821,2014-12-28 22:07:41,467C - George and Job,GNU C++0x,Wrong answer on test 2,15 ms,195800 KB
9258619,2014-12-24 21:28:05,498B - Name That Tune,GNU C++0x,Wrong answer on pretest 7,15 ms,196000 KB
9258350,2014-12-24 21:25:42,498B - Name That Tune,GNU C++0x,Wrong answer on pretest 1,0 ms,196000 KB
9255191,2014-12-24 20:50:23,498B - Name That Tune,GNU C++0x,Memory limit exceeded on pretest 1,0 ms,262100 KB
9254607,2014-12-24 20:44:10,498B - Name That Tune,GNU C++0x,Wrong answer on pretest 7,15 ms,195900 KB
9254280,2014-12-24 20:40:38,498B - Name That Tune,GNU C++0x,Memory limit exceeded on pretest 1,0 ms,262100 KB
9248853,2014-12-24 19:55:36,498A - Crazy Town,GNU C++0x,Wrong answer on test 20,15 ms,0 KB
9145974,2014-12-15 23:39:01,494B - Obsessive String,GNU C++0x,Wrong answer on test 1,0 ms,3000 KB
9113415,2014-12-13 20:44:31,495B - Modular Equations,GNU C++0x,Accepted,61 ms,0 KB
9109542,2014-12-13 20:12:36,495C - Treasure,GNU C++0x,Wrong answer on test 14,31 ms,100 KB
9106841,2014-12-13 19:54:04,495B - Modular Equations,GNU C++0x,Wrong answer on pretest 5,15 ms,0 KB
9104439,2014-12-13 19:40:21,495A - Digital Counter,GNU C++0x,Accepted,46 ms,0 KB
