ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1674
19381103,2016-07-24 12:35:06,685C - Optimal Point,GNU C++11,Wrong answer on test 5,733 ms,2400 KB
19381097,2016-07-24 12:34:40,685C - Optimal Point,GNU C++11,Wrong answer on test 4,639 ms,2400 KB
19381080,2016-07-24 12:33:39,685C - Optimal Point,GNU C++11,Wrong answer on test 2,15 ms,2400 KB
19156827,2016-07-15 18:43:06,696D - Legen...,GNU C++11,Accepted,842 ms,1000 KB
19156805,2016-07-15 18:41:26,696D - Legen...,GNU C++11,Wrong answer on test 9,514 ms,1000 KB
19156787,2016-07-15 18:39:50,696D - Legen...,GNU C++11,Runtime error on test 8,187 ms,1000 KB
19127561,2016-07-14 21:04:33,696C - PLEASE,GNU C++11,Accepted,701 ms,0 KB
19127338,2016-07-14 21:02:22,696C - PLEASE,GNU C++11,Wrong answer on pretest 3,0 ms,0 KB
19126759,2016-07-14 20:57:31,696C - PLEASE,GNU C++11,Time limit exceeded on pretest 10,1000 ms,0 KB
19126222,2016-07-14 20:53:09,696C - PLEASE,GNU C++11,Time limit exceeded on pretest 10,1000 ms,0 KB
19120671,2016-07-14 20:14:43,696B - Puzzles,GNU C++11,Accepted,62 ms,4900 KB
19119300,2016-07-14 20:07:29,696B - Puzzles,GNU C++11,Time limit exceeded on pretest 8,1000 ms,2900 KB
19116038,2016-07-14 19:52:04,696A - Lorenzo Von Matterhorn,GNU C++11,Accepted,202 ms,0 KB
19092589,2016-07-13 20:59:26,691F - Couple Cover,GNU C++11,Time limit exceeded on test 13,3000 ms,85900 KB
19092464,2016-07-13 20:58:34,691F - Couple Cover,GNU C++11,Runtime error on test 4,31 ms,85900 KB
19091935,2016-07-13 20:52:53,691F - Couple Cover,GNU C++11,Time limit exceeded on test 13,3000 ms,62400 KB
19091640,2016-07-13 20:49:27,691F - Couple Cover,GNU C++11,Time limit exceeded on test 13,3000 ms,54600 KB
19088492,2016-07-13 20:17:51,691E - Xor-sequences,GNU C++11,Accepted,1232 ms,200 KB
19085179,2016-07-13 19:52:17,691D - Swaps in Permutation,GNU C++11,Accepted,1262 ms,44000 KB
19083727,2016-07-13 19:41:17,691B - s-palindrome,GNU C++11,Accepted,15 ms,0 KB
19083389,2016-07-13 19:38:51,691C - Exponential notation,GNU C++11,Accepted,327 ms,2000 KB
19080149,2016-07-13 19:18:24,691B - s-palindrome,GNU C++11,Wrong answer on test 12,15 ms,0 KB
19078064,2016-07-13 19:08:44,691A - Fashion in Berland,GNU C++11,Accepted,15 ms,0 KB
18958511,2016-07-08 01:56:21,348C - Subset Sums,GNU C++11,Accepted,904 ms,223600 KB
18958484,2016-07-08 01:52:50,348C - Subset Sums,GNU C++11,Wrong answer on test 1,0 ms,223600 KB
18958478,2016-07-08 01:52:10,348C - Subset Sums,GNU C++11,Wrong answer on test 1,0 ms,223600 KB
18958474,2016-07-08 01:51:30,348C - Subset Sums,GNU C++11,Memory limit exceeded on test 1,30 ms,262100 KB
18958471,2016-07-08 01:50:59,348C - Subset Sums,GNU C++11,Memory limit exceeded on test 1,0 ms,262100 KB
18958440,2016-07-08 01:44:26,348C - Subset Sums,GNU C++11,Memory limit exceeded on test 1,0 ms,262100 KB
18950647,2016-07-07 14:58:19,487D - Conveyor Belts,GNU C++11,Accepted,530 ms,18600 KB
18950430,2016-07-07 14:46:46,487D - Conveyor Belts,GNU C++11,Wrong answer on test 6,546 ms,18600 KB
18950369,2016-07-07 14:43:19,487D - Conveyor Belts,GNU C++11,Wrong answer on test 5,529 ms,18600 KB
18932408,2016-07-06 21:06:51,446C - DZY Loves Fibonacci Numbers,GNU C++11,Accepted,3229 ms,241900 KB
18932153,2016-07-06 21:04:21,446C - DZY Loves Fibonacci Numbers,GNU C++11,Wrong answer on test 10,2651 ms,30500 KB
18931449,2016-07-06 20:57:13,446C - DZY Loves Fibonacci Numbers,GNU C++11,Wrong answer on test 10,404 ms,21100 KB
18930136,2016-07-06 20:44:55,446C - DZY Loves Fibonacci Numbers,GNU C++11,Wrong answer on test 10,2822 ms,21100 KB
18908243,2016-07-06 01:36:25,446C - DZY Loves Fibonacci Numbers,GNU C++11,Wrong answer on test 10,2136 ms,37600 KB
18908229,2016-07-06 01:33:43,446C - DZY Loves Fibonacci Numbers,GNU C++11,Wrong answer on test 10,2183 ms,28200 KB
18908221,2016-07-06 01:32:23,446C - DZY Loves Fibonacci Numbers,GNU C++11,Wrong answer on test 5,15 ms,28200 KB
18907509,2016-07-05 23:59:32,446C - DZY Loves Fibonacci Numbers,MS C++,Compilation error,0 ms,0 KB
18907477,2016-07-05 23:55:52,446C - DZY Loves Fibonacci Numbers,GNU C++,Wrong answer on test 1,15 ms,6900 KB
18907467,2016-07-05 23:55:25,446C - DZY Loves Fibonacci Numbers,GNU C++11,Wrong answer on test 1,15 ms,6900 KB
18907453,2016-07-05 23:53:55,446C - DZY Loves Fibonacci Numbers,GNU C++,Compilation error,0 ms,0 KB
18907429,2016-07-05 23:50:56,446C - DZY Loves Fibonacci Numbers,GNU C++11,Time limit exceeded on test 10,4000 ms,7100 KB
18907387,2016-07-05 23:46:44,446C - DZY Loves Fibonacci Numbers,GNU C++11,Wrong answer on test 4,15 ms,7100 KB
18906800,2016-07-05 22:52:30,375D - Tree and Queries,GNU C++11,Accepted,857 ms,22300 KB
18906543,2016-07-05 22:26:59,375D - Tree and Queries,GNU C++11,Wrong answer on test 7,358 ms,8200 KB
18906427,2016-07-05 22:16:46,375D - Tree and Queries,GNU C++11,Wrong answer on test 5,46 ms,6700 KB
18903549,2016-07-05 18:33:19,375D - Tree and Queries,GNU C++11,Wrong answer on test 4,15 ms,6400 KB
18903201,2016-07-05 18:09:00,375D - Tree and Queries,GNU C++11,Wrong answer on test 1,0 ms,6400 KB
18901777,2016-07-05 16:34:27,375D - Tree and Queries,GNU C++11,Accepted,452 ms,10200 KB
18901743,2016-07-05 16:32:22,375D - Tree and Queries,GNU C++11,Wrong answer on test 17,249 ms,7500 KB
18900459,2016-07-05 15:14:06,455D - Serega and Fun,GNU C++11,Accepted,1606 ms,126300 KB
18898997,2016-07-05 14:33:44,455D - Serega and Fun,GNU C++11,Time limit exceeded on test 55,4000 ms,127600 KB
18898917,2016-07-05 14:30:10,455D - Serega and Fun,GNU C++11,Wrong answer on test 4,15 ms,125200 KB
18898825,2016-07-05 14:24:54,455D - Serega and Fun,GNU C++11,Wrong answer on test 1,15 ms,125300 KB
18898753,2016-07-05 14:21:19,455D - Serega and Fun,GNU C++11,Time limit exceeded on test 55,4000 ms,127600 KB
18898719,2016-07-05 14:19:35,455D - Serega and Fun,GNU C++11,Time limit exceeded on test 55,4000 ms,127600 KB
18898644,2016-07-05 14:15:11,455D - Serega and Fun,GNU C++11,Wrong answer on test 4,15 ms,125300 KB
18897749,2016-07-05 13:18:20,455D - Serega and Fun,GNU C++11,Time limit exceeded on test 55,4000 ms,127600 KB
18897707,2016-07-05 13:15:46,455D - Serega and Fun,GNU C++11,Memory limit exceeded on test 9,2089 ms,262100 KB
18896831,2016-07-05 12:17:02,13E - Holes,GNU C++11,Accepted,624 ms,1400 KB
18896795,2016-07-05 12:14:51,13E - Holes,GNU C++11,Time limit exceeded on test 46,1000 ms,1000 KB
18896751,2016-07-05 12:12:46,13E - Holes,GNU C++11,Time limit exceeded on test 46,1000 ms,1000 KB
18896716,2016-07-05 12:10:36,13E - Holes,GNU C++11,Runtime error on test 9,92 ms,1000 KB
18896715,2016-07-05 12:10:36,13E - Holes,GNU C++11,Runtime error on test 9,92 ms,1000 KB
18895908,2016-07-05 11:25:05,86D - Powerful array,GNU C++11,Accepted,3960 ms,11800 KB
18895891,2016-07-05 11:24:08,86D - Powerful array,GNU C++11,Time limit exceeded on test 6,5000 ms,11800 KB
18895822,2016-07-05 11:20:33,86D - Powerful array,GNU C++11,Time limit exceeded on test 6,5000 ms,11800 KB
18895788,2016-07-05 11:19:03,86D - Powerful array,GNU C++11,Wrong answer on test 1,30 ms,5300 KB
18895761,2016-07-05 11:17:09,86D - Powerful array,GNU C++11,Time limit exceeded on test 6,5000 ms,11800 KB
18895717,2016-07-05 11:14:55,86D - Powerful array,GNU C++11,Wrong answer on test 1,30 ms,5500 KB
18895414,2016-07-05 10:57:27,220B - Little Elephant and Array,GNU C++11,Accepted,218 ms,4300 KB
18895328,2016-07-05 10:53:07,220B - Little Elephant and Array,GNU C++11,Time limit exceeded on test 5,4000 ms,3900 KB
18895272,2016-07-05 10:50:18,220B - Little Elephant and Array,GNU C++11,Wrong answer on test 5,2074 ms,3900 KB
18895216,2016-07-05 10:46:32,220B - Little Elephant and Array,GNU C++11,Wrong answer on test 2,0 ms,1200 KB
18800604,2016-06-29 21:08:32,687C - The Values You Can Make,GNU C++11,Accepted,140 ms,123100 KB
18799788,2016-06-29 21:02:53,687C - The Values You Can Make,GNU C++11,Wrong answer on pretest 6,108 ms,123000 KB
18794087,2016-06-29 20:32:14,687B - Remainders Game,GNU C++11,Time limit exceeded on test 31,1000 ms,900 KB
18790324,2016-06-29 20:17:57,687A - NP-Hard Problem,GNU C++11,Accepted,234 ms,4800 KB
18751342,2016-06-27 14:46:17,387D - George and Interesting Graph,GNU C++11,Accepted,436 ms,0 KB
18751331,2016-06-27 14:45:40,387D - George and Interesting Graph,GNU C++11,Wrong answer on test 4,15 ms,0 KB
18751293,2016-06-27 14:43:20,387D - George and Interesting Graph,GNU C++11,Wrong answer on test 4,0 ms,0 KB
18751238,2016-06-27 14:40:33,387D - George and Interesting Graph,GNU C++11,Wrong answer on test 4,15 ms,0 KB
18751094,2016-06-27 14:29:56,387D - George and Interesting Graph,GNU C++11,Wrong answer on test 4,15 ms,0 KB
16935401,2016-03-25 20:32:24,237D - T-decomposition,GNU C++11,Accepted,1622 ms,8600 KB
16933700,2016-03-25 19:40:03,242E - XOR on Segment,GNU C++11,Accepted,1402 ms,26000 KB
12661769,2015-08-22 21:21:26,571B - Minimization,GNU C++11,Wrong answer on pretest 12,202 ms,9400 KB
12661508,2015-08-22 21:19:13,571B - Minimization,GNU C++11,Runtime error on pretest 11,15 ms,9400 KB
12661477,2015-08-22 21:18:59,571B - Minimization,GNU C++11,Wrong answer on pretest 1,0 ms,9400 KB
12661417,2015-08-22 21:18:19,571B - Minimization,GNU C++11,Wrong answer on pretest 1,0 ms,9400 KB
12661281,2015-08-22 21:16:52,571B - Minimization,GNU C++11,Runtime error on pretest 12,202 ms,9400 KB
12661013,2015-08-22 21:14:26,571B - Minimization,GNU C++11,Time limit exceeded on pretest 12,2000 ms,9400 KB
12660437,2015-08-22 21:08:45,571B - Minimization,GNU C++11,Memory limit exceeded on pretest 1,0 ms,262100 KB
12660303,2015-08-22 21:07:22,571B - Minimization,GNU C++11,Runtime error on pretest 11,108 ms,82800 KB
12660237,2015-08-22 21:06:47,571B - Minimization,GNU C++11,Runtime error on pretest 1,15 ms,4700 KB
12660118,2015-08-22 21:05:37,571B - Minimization,GNU C++11,Wrong answer on pretest 1,15 ms,4700 KB
12657575,2015-08-22 20:43:29,571B - Minimization,GNU C++11,Wrong answer on pretest 5,15 ms,4700 KB
12654347,2015-08-22 20:20:35,571B - Minimization,GNU C++11,Wrong answer on pretest 7,0 ms,4700 KB
12187411,2015-07-22 20:56:15,559C - Gerald and Giant Chess,GNU C++11,Wrong answer on test 5,31 ms,1600 KB
12187390,2015-07-22 20:55:05,559C - Gerald and Giant Chess,GNU C++11,Runtime error on test 4,0 ms,800 KB
12187380,2015-07-22 20:54:32,559B - Equivalent Strings,GNU C++11,Wrong answer on test 1,15 ms,800 KB
12175731,2015-07-22 18:03:57,559B - Equivalent Strings,GNU C++11,Wrong answer on pretest 3,15 ms,1200 KB
12167281,2015-07-22 17:14:34,559A - Gerald's Hexagon,GNU C++11,Accepted,31 ms,0 KB
