ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1412
18205111,2016-06-01 22:51:11,677D - Vanya and Treasure,GNU C++11,Wrong answer on test 1,0 ms,5900 KB
18204934,2016-06-01 22:42:11,677D - Vanya and Treasure,GNU C++11,Wrong answer on test 10,15 ms,6200 KB
18203079,2016-06-01 21:33:08,677D - Vanya and Treasure,GNU C++11,Wrong answer on pretest 10,15 ms,6200 KB
18202011,2016-06-01 21:24:50,677D - Vanya and Treasure,GNU C++11,Time limit exceeded on pretest 18,1500 ms,86600 KB
18201840,2016-06-01 21:23:04,677D - Vanya and Treasure,GNU C++11,Wrong answer on pretest 10,15 ms,6500 KB
18201145,2016-06-01 21:17:17,677D - Vanya and Treasure,GNU C++11,Time limit exceeded on pretest 18,1500 ms,80200 KB
18199165,2016-06-01 20:59:34,677D - Vanya and Treasure,GNU C++11,Time limit exceeded on pretest 18,1500 ms,68200 KB
18198277,2016-06-01 20:51:57,677D - Vanya and Treasure,GNU C++11,Time limit exceeded on pretest 18,1500 ms,69100 KB
18191377,2016-06-01 20:01:11,677C - Vanya and Label,GNU C++11,Accepted,31 ms,4500 KB
18189872,2016-06-01 19:52:13,677B - Vanya and Food Processor,GNU C++11,Accepted,280 ms,3000 KB
18185988,2016-06-01 19:38:19,677A - Vanya and Fence,GNU C++11,Accepted,15 ms,2200 KB
18088898,2016-05-25 20:02:34,676D - Theseus and labyrinth,GNU C++11,Accepted,327 ms,26400 KB
18088534,2016-05-25 20:00:04,676D - Theseus and labyrinth,GNU C++11,Wrong answer on pretest 10,171 ms,26200 KB
18088127,2016-05-25 19:56:29,676D - Theseus and labyrinth,GNU C++11,Wrong answer on pretest 10,124 ms,26400 KB
18087615,2016-05-25 19:51:47,676D - Theseus and labyrinth,GNU C++11,Wrong answer on pretest 8,15 ms,26400 KB
18087290,2016-05-25 19:48:38,676D - Theseus and labyrinth,GNU C++11,Wrong answer on pretest 8,15 ms,26200 KB
18082921,2016-05-25 19:07:48,676B - Pyramid of Glasses,GNU C++11,Accepted,124 ms,2200 KB
18082519,2016-05-25 19:04:09,676B - Pyramid of Glasses,GNU C++11,Runtime error on pretest 4,15 ms,2400 KB
